Fx,Tx,Fy,Ty,Fz,Tz
18.0606,0.7329,-20.9457,-1.8861,-124.7122,0.5867
18.1024,0.809,-19.9608,-1.945,-119.2114,0.5548
18.9131,0.7969,-19.6829,-1.8693,-120.4687,0.6002
18.487,0.3379,-19.7651,-1.5183,-134.5637,0.5605
18.3764,0.9825,-20.5387,-1.8352,-118.9688,0.553
18.0296,0.7947,-21.2351,-1.6563,-130.6272,0.5549
17.0478,1.206,-21.5072,-1.9013,-123.8856,0.5479
15.7798,1.12,-28.2357,-1.7768,-130.6277,0.4141
16.5985,1.2622,-26.1234,-1.8132,-125.0063,0.4212
16.9461,1.2564,-23.5455,-1.7341,-125.3383,0.384
16.9569,1.0836,-21.8531,-1.767,-124.4025,0.4082
17.0622,1.1031,-21.0175,-1.8508,-120.1504,0.4436
16.9426,0.8683,-20.2558,-1.7674,-124.4799,0.427
16.4663,1.0785,-19.2415,-1.9535,-116.3392,0.4111
16.3935,0.7739,-19.2393,-1.8558,-124.5444,0.4315
15.6783,0.0451,-19.2076,-1.6723,-133.3129,0.4747
15.6851,-0.1592,-19.2755,-1.7103,-127.5308,0.505
15.5788,-0.1356,-18.7345,-1.8458,-118.7274,0.5204
14.7836,-0.3848,-17.7483,-1.8055,-124.7259,0.5175
14.6646,-0.6692,-17.6021,-1.794,-131.107,0.5542
14.1083,-0.3705,-16.7317,-2.1209,-115.1534,0.5259
14.176,-0.8245,-16.8941,-1.9121,-125.1696,0.5471
14.096,-0.916,-17.2897,-2.0229,-116.2981,0.5713
14.3208,-0.8403,-16.2887,-1.9092,-121.4934,0.5523
13.688,-1.5085,-17.0897,-1.6544,-135.771,0.5853
13.8517,-0.7478,-16.3923,-2.0055,-121.718,0.5518
14.0954,-0.4723,-15.0435,-1.9657,-125.1002,0.4928
14.2961,-0.1863,-13.9972,-2.0209,-121.6876,0.4639
14.5025,-0.3249,-12.8831,-1.8853,-129.957,0.4449
14.2382,-0.3582,-11.7847,-1.8191,-135.3504,0.3973
14.2697,-0.1671,-10.9989,-1.953,-130.4886,0.3847
13.7954,-0.3365,-10.0054,-1.8671,-136.8914,0.3485
13.7501,-0.1683,-9.2634,-2.0289,-129.9691,0.3413
13.9614,-0.3612,-8.9421,-1.976,-131.4076,0.3555
14.429,0.0865,-7.0453,-1.9598,-133.6027,0.2793
14.7476,0.9282,-5.2067,-2.2166,-121.8621,0.201
14.2867,0.6765,-4.5386,-2.0192,-135.2245,0.1546
14.2492,0.8745,-3.9695,-2.1656,-130.3536,0.1449
14.1591,1.0177,-3.4134,-2.199,-129.981,0.1024
14.5266,1.4446,-2.64,-2.3925,-122.0594,0.0783
14.458,1.3931,-1.7737,-2.234,-132.7812,0.026
14.5581,1.6604,-0.773,-2.231,-134.9143,-0.0219
14.4364,1.8666,-0.1628,-2.3328,-131.6829,-0.0453
14.4499,1.7683,0.6572,-2.2609,-135.4123,-0.0676
14.4617,1.9308,1.0809,-2.3532,-130.7254,-0.0769
14.4891,1.9882,1.7898,-2.3775,-130.1596,-0.0746
14.0426,2.024,0.7525,-2.3503,-131.5224,-0.1245
13.597,1.7542,-1.4577,-2.2173,-140.1858,-0.1871
13.7929,1.9887,-0.5054,-2.3249,-134.7215,-0.1799
14.0722,2.125,-0.6205,-2.3198,-133.6907,-0.2051
14.4849,2.3528,0.2826,-2.3983,-128.4242,-0.2004
14.107,2.3698,0.3286,-2.3772,-133.9908,-0.1972
14.0563,2.3099,-0.5552,-2.2802,-143.3939,-0.2183
14.2928,2.6391,-0.4674,-2.3938,-140.7782,-0.2076
14.7885,2.7642,1.1966,-2.3734,-143.784,-0.177
15.1597,3.2355,2.4783,-2.4997,-136.716,-0.1755
15.2174,2.9612,2.9867,-2.2688,-145.9549,-0.1713
15.256,2.9267,3.8892,-2.1819,-147.2223,-0.1795
14.7371,2.8945,3.6829,-2.2712,-142.6817,-0.1858
14.7752,2.9204,3.4269,-2.3674,-137.7491,-0.1528
14.672,3.0094,3.4484,-2.4168,-130.1248,-0.1956
14.4282,2.5028,2.4975,-2.2438,-137.001,-0.1745
13.4044,2.1989,-1.9851,-2.231,-138.1327,-0.2064
13.217,2.1043,-5.4906,-2.2118,-138.317,-0.2358
12.9492,1.8911,-6.9209,-2.0835,-143.538,-0.2652
13.3046,1.9927,-4.5565,-2.1397,-143.3074,-0.199
13.2937,2.1215,-3.4472,-2.196,-141.7519,-0.1801
13.5527,2.1943,-1.8314,-2.2112,-141.6656,-0.1359
13.7831,2.3297,-1.2053,-2.3037,-138.8625,-0.0889
14.3969,2.3221,-0.1666,-2.3462,-136.0658,-0.0307
14.3197,1.749,0.6465,-2.0524,-150.4494,0.0216
14.4862,1.7693,0.9819,-2.0611,-146.7762,0.0691
14.6215,1.8669,1.2098,-2.131,-140.6338,0.0908
14.4724,1.7543,0.5327,-2.0182,-145.0894,0.0666
13.9424,1.8506,-1.5391,-2.1404,-140.0461,0.0582
14.1764,2.1391,-4.85,-2.289,-131.0279,0.0022
13.6891,2.0741,-7.0406,-2.2456,-132.5197,-0.0359
13.9253,2.2299,-7.1101,-2.3247,-127.811,-0.0168
13.9951,2.1058,-5.4013,-2.2037,-135.3156,0.0369
14.4473,2.2399,-4.3867,-2.277,-129.0245,0.0752
14.5285,1.9415,-3.7042,-2.163,-133.5694,0.1403
14.6521,1.8399,-3.8072,-2.2029,-131.5132,0.1849
14.4217,1.81,-4.3769,-2.2273,-130.2443,0.1905
14.2768,1.8545,-4.641,-2.1789,-132.6951,0.1827
14.4226,2.1758,-4.3309,-2.2547,-128.8327,0.1484
14.6365,1.8784,-5.0454,-2.0683,-135.741,0.1584
14.865,1.7441,-4.3746,-1.9907,-138.4402,0.1783
14.6794,1.9422,-4.0759,-2.1367,-133.56,0.194
14.8005,1.9017,-3.4832,-2.0801,-137.0956,0.2252
15.4328,2.0852,-2.3731,-2.1893,-128.969,0.2688
15.9247,1.7392,-1.3544,-1.9902,-137.224,0.3232
16.1169,1.6759,-0.7165,-1.9531,-138.494,0.3484
16.6381,1.6541,0.1817,-1.9456,-135.6747,0.3985
16.6284,1.7449,0.4239,-2.0633,-131.6004,0.4116
16.2749,1.6099,0.7616,-2.0787,-135.3283,0.4424
16.431,1.4601,1.1279,-2.0335,-136.3658,0.4678
16.8239,1.6161,1.3142,-2.1284,-131.4803,0.5204
16.9606,1.1852,2.2405,-1.8661,-142.9943,0.5359
16.9859,1.6302,2.536,-2.1514,-129.711,0.5478
16.9084,1.3253,2.7031,-2.0274,-136.6867,0.5795
17.1502,1.4877,3.1652,-2.1269,-130.98,0.5898
16.9852,1.1455,2.7591,-2.0059,-135.8553,0.6188
17.0222,1.2086,2.1621,-2.0504,-133.563,0.6047
17.1222,1.1093,1.6213,-2.0024,-135.9877,0.6053
17.5055,1.147,2.53,-1.9646,-137.285,0.6305
17.9233,1.5236,3.0703,-2.1285,-128.9303,0.6179
17.609,1.2425,3.0233,-1.9376,-140.6125,0.611
17.7068,1.6896,3.098,-2.2088,-131.2362,0.6345
18.6687,1.5653,4.1882,-2.028,-136.6281,0.6578
19.4383,1.1815,4.5042,-1.7896,-141.107,0.6675
19.5855,1.387,4.4666,-2.0355,-123.4368,0.6596
19.2187,0.6735,5.2459,-1.7363,-132.4103,0.616
18.1256,0.4994,4.9139,-1.8764,-120.208,0.5583
17.2278,0.0436,3.953,-1.7402,-116.9516,0.4662
17.6422,0.2233,3.8119,-1.8889,-103.585,0.4536
17.5811,0.214,3.254,-1.9582,-100.6765,0.4504
17.473,-0.3321,2.4774,-1.7983,-114.5828,0.4998
18.1907,0.1568,3.2524,-2.066,-100.9228,0.5172
18.757,-0.0103,3.9525,-1.8873,-108.1361,0.5238
18.7604,-0.266,4.0001,-1.7168,-113.0186,0.4883
18.9533,-0.2114,3.9223,-1.7876,-107.4699,0.4989
19.7244,-0.4854,4.1286,-1.6807,-116.7427,0.5757
20.6191,-0.0685,4.2289,-1.8695,-116.025,0.6282
21.8658,0.0497,5.1008,-1.836,-118.3683,0.6591
22.6422,0.4067,5.2324,-1.947,-112.6663,0.664
22.2463,0.5333,4.9187,-1.9876,-109.3439,0.5907
22.4277,0.4799,4.3239,-1.8832,-115.8911,0.6144
22.3103,0.446,4.5262,-1.7729,-118.9647,0.5954
21.7685,0.6029,5.3437,-1.7891,-117.5683,0.5444
22.3499,0.7137,5.0464,-1.8204,-122.3277,0.584
21.3327,0.7488,4.9868,-1.935,-124.1994,0.5863
21.7112,1.1671,4.7994,-2.1733,-114.5841,0.5763
21.48,0.8769,4.7139,-2.026,-122.7655,0.5662
21.4976,0.7638,4.3934,-1.979,-126.4378,0.5639
22.1766,0.9055,4.4071,-2.041,-121.3193,0.5802
21.793,0.6438,4.4945,-1.8433,-128.8772,0.5479
22.682,1.0403,4.9336,-2.0235,-115.7956,0.5799
22.2206,0.6019,4.3828,-1.7928,-129.4896,0.5848
22.4501,1.1393,3.7372,-2.1399,-114.9335,0.5854
22.2807,0.8283,3.4305,-1.973,-124.7447,0.5699
22.8551,1.2039,3.7923,-2.1518,-114.3255,0.5713
22.513,1.0051,2.9275,-2.0063,-119.1654,0.5445
22.1287,0.6998,3.0175,-1.8752,-126.5335,0.537
22.7861,1.0903,2.8891,-2.0453,-116.5072,0.5667
22.6233,0.6803,2.7774,-1.7634,-128.3539,0.5322
22.7128,1.0906,2.1524,-2.0551,-117.905,0.553
22.7655,0.9836,2.7994,-2.135,-119.6181,0.6197
23.0444,1.0894,3.3753,-2.1682,-114.7247,0.6303
23.4306,0.6842,3.381,-1.9347,-120.2169,0.6542
23.0349,0.4931,3.101,-1.878,-126.9705,0.6464
23.2813,0.5209,3.3222,-1.9094,-124.7299,0.6601
23.0209,0.6872,2.623,-2.1032,-115.4595,0.6533
23.4362,0.7674,2.7515,-2.1149,-116.1118,0.6954
23.2205,0.4079,3.0309,-1.8363,-127.788,0.6861
23.2621,0.9313,2.9005,-2.0673,-113.4275,0.6366
23.3834,0.8823,2.7981,-2.0224,-115.062,0.6482
