No.,z_score_x,z_score_y,	
0,-2.75307542661455,-2.26063923109514,	
1,-2.72702503714526,-2.26838481826942,	
2,-2.73082615385734,-2.31101281565227,	
3,-2.68590941890087,-2.29782034671741,	
4,-2.66028672151623,-2.30672731062633,	
5,-2.62428920991077,-2.30375991642335,	
6,-2.53932288114596,-2.2446809089081,	
7,-2.43461028183172,-2.16298205224002,	
8,-2.33932620574875,-2.09211290846133,	
9,-2.25768095274972,-2.03334606497913,	
10,-2.22890452270955,-2.04239195195746,	
11,-2.18376518097273,-2.02915689096183,	
12,-2.1373214519103,-2.01448540197952,	
13,-2.11203688213893,-2.02414781888587,	
14,-2.1060465718834,-2.05600649047549,	
15,-2.10464152766037,-2.08737250814845,	
16,-2.03339724087656,-2.05038670619178,	
17,-1.94819611690948,-1.99165814548347,	
18,-1.96093023345111,-2.04532715259193,	
19,-1.90538787999463,-2.02079425614203,	
20,-1.91328525925414,-2.06421196651015,	
21,-1.8879722531581,-2.07341306285637,	
22,-1.87143779242481,-2.09402824446805,	
23,-1.91495562021788,-2.18345769615404,	
24,-1.92792179606177,-2.23810271054904,	
25,-1.94184578584412,-2.29399251026264,	
26,-2.04502403500595,-2.45213366968747,	
27,-2.07798943697878,-2.53013677362634,	
28,-2.08134253781177,-2.57444445734638,	
29,-1.86481518330111,-2.36732414882535,	
30,-1.85766272843983,-2.39992228992099,	
31,-1.87095994334125,-2.45610487634874,	
32,-1.88396272594357,-2.51214168030185,	
33,-1.85678857414248,-2.52235457595837,	
34,-1.84986386127824,-2.55592275597403,	
35,-1.81197024754202,-2.55417554613204,	
36,-1.84579090220864,-2.63476188501298,	
37,-1.89888771465834,-2.73762210300635,	
38,-1.78197970357714,-2.64563222478529,	
39,-1.79540006037637,-2.70318063058731,	
40,-1.76837350123632,-2.71432801612597,	
41,-1.79311984789866,-2.78488324757649,	
42,-1.82691303511358,-2.86573609531535,	
43,-1.82127865335111,-2.900996734721,	
44,-1.84649759939296,-2.97125246010715,	
45,-1.79206336007189,-2.94912521187728,	
46,-1.77827714598649,-2.972642529069,	
47,-1.76864231426839,-2.99914524393827,	
48,-1.80171767248218,-3.0702791516464,	
49,-1.74880916923437,-3.04861515007695,	
50,-1.72427364294801,-3.06161166840159,	
51,-1.68464300803696,-3.05273510165146,	
52,-1.65948548391877,-3.05476652602034,	
53,-1.69643143448679,-3.12863719620086,	
54,-1.69850912504779,-3.16749534808448,	
55,-1.7075141259729,-3.20620179936983,	
56,-1.73174256395553,-3.25706380852267,	
57,-1.73459052418526,-3.29418882663453,	
58,-1.76612417095735,-3.35792630137841,	
59,-1.78903414967034,-3.40776140336905,	
60,-1.79512470066907,-3.43590216356991,	
61,-1.77039285479374,-3.42631122055345,	
62,-1.77083330490331,-3.4526541322891,	
63,-1.80534531881864,-3.51566253604835,	
64,-1.82986826516342,-3.5661397109085,	
65,-1.82139033057126,-3.57855151542343,	
66,-1.80237164708256,-3.57850748967327,	
67,-1.81780793076995,-3.61687115454587,	
68,-1.80957655582282,-3.62840353859498,	
69,-1.86773650891343,-3.71431462462174,	
70,-1.88129617523677,-3.75006567358489,	
71,-1.8837587170561,-3.77336214357729,	
72,-1.91857544367063,-3.83292177495331,	
73,-2.01053694247739,-3.95646860354098,	
74,-1.97721694160974,-3.93982022275697,	
75,-1.98909602016902,-3.97401743864199,	
76,-2.01336323300098,-4.02211692760788,	
77,-1.94521591563171,-3.96670267766745,	
78,-1.95682132242735,-4.00053800093124,	
79,-1.95401045787861,-4.01830932736707,	
80,-2.01072410185309,-4.10264741714282,	
81,-1.96382126945744,-4.07122719436622,	
82,-1.98538579073984,-4.11634209823695,	
83,-1.97364151788167,-4.12293974045938,	
84,-1.97106207551938,-4.14243510464832,	
85,-1.97991439722432,-4.17337692816117,	
86,-1.99044238143267,-4.2061789179312,	
87,-2.00895532762488,-4.2478759373703,	
88,-2.04240106632061,-4.30620808587132,	
89,-2.0516428278546,-4.3374840717267,	
90,-2.01465171506437,-4.31713866987879,	
91,-2.03572556973077,-4.36152109837299,	
92,-2.0798793172538,-4.43156382991487,	
93,-2.09900704525537,-4.47361008609359,	
94,-2.11051275291191,-4.50706860694457,	
95,-2.07304876674695,-4.48589146587115,	
96,-2.129083255764,-4.56872997666116,	
97,-2.10302347970491,-4.56004649962738,	
98,-2.11417567402285,-4.59264794224738,	
99,-2.11213907943459,-4.6104380744469,	
100,-2.06252427835443,-4.57522510593471,	
101,-2.11940412466893,-4.65812013495146,	
102,-2.04922064607986,-4.59979338273868,	
103,-2.0948962188449,-4.66980607229696,	
104,-2.10548915130817,-4.70065672441047,	
105,-2.08030268467831,-4.69164311669084,	
106,-2.03487979545589,-4.66005145623723,	
107,-2.0216928558257,-4.66388557172693,	
108,-1.97574957495518,-4.63130324887072,	
109,-2.02300821358516,-4.70121171543742,	
110,-2.01191735802227,-4.7064403212499,	
111,-1.98905565874261,-4.6984044339855,	
112,-1.99030051257806,-4.71648935203522,	
113,-1.99136102244866,-4.73396098740274,	
114,-1.95780975364342,-4.71313379828666,	
115,-2.02989979937674,-4.80739826514723,	
116,-2.03364747896119,-4.82636183877563,	
117,-2.04852585336947,-4.85694994067908,	
118,-2.12410098189363,-4.95293790957263,	
119,-2.15165485959192,-4.99621257076272,	
120,-2.24855953766181,-5.11684542570329,	
121,-2.21742077008541,-5.09648156202242,	
122,-2.23409055395124,-5.12733449048909,	
123,-2.31007825215389,-5.22157212857123,	
124,-2.32692108329142,-5.25125034198185,	
125,-2.29850438917765,-5.23166042358545,	
126,-2.3762364626592,-5.32554682361755,	
127,-2.34725804458198,-5.30430340544883,	
128,-2.34243052964734,-5.30844302240397,	
129,-2.30148094977809,-5.27357448939975,	
130,-2.34721131837232,-5.33072496492009,	
131,-2.25833646185422,-5.24417852430859,	
132,-2.21666070379624,-5.20764581698745,	
133,-2.26240245768772,-5.26347107819754,	
134,-2.22328456713936,-5.22911713655194,	
135,-2.26893241598454,-5.28401059980161,	
136,-2.26645681708751,-5.28780668948378,	
137,-2.24931815721393,-5.27600212272828,	
138,-2.23497050929065,-5.26702157517344,	
139,-2.23317373776384,-5.27109410242433,	
140,-2.24344249459689,-5.28768419712278,	
141,-2.21566726914399,-5.26450883958157,	
142,-2.27529473551367,-5.33241041750115,	
143,-2.22307494520467,-5.28386837852075,	
144,-2.2201610253741,-5.28672145104807,	
145,-2.25435467889231,-5.32811903021038,	
146,-2.25187614169887,-5.33157323056471,	
147,-2.28593223060137,-5.37294011958169,	
148,-2.30782327738556,-5.40182517463815,	
149,-2.27907260342594,-5.37863126072607,	
150,-2.25095361934569,-5.35635991331714,	
151,-2.23291602698915,-5.34475881499308,	
152,-2.26765423851171,-5.38767329454287,	
153,-2.32669872017401,-5.455734764746,	
154,-2.25754859831593,-5.39242075023416,	
155,-2.24137532168534,-5.38382623650204,	
156,-2.27429103369129,-5.42583943625523,	
157,-2.15417515660601,-5.31136339104178,	
158,-2.21287830833781,-5.38037498892279,	
159,-2.23437824581127,-5.40809364703736,	
160,-2.25070470802084,-5.4377738645876,	
161,-2.26898404816842,-5.46626853512694,	
162,-2.27497401892347,-5.48251761313368,	
163,-2.24197562112075,-5.45923013759406,	
164,-2.29941876746421,-5.52873685161145,	
165,-2.29099075524666,-5.53121435974534,	
166,-2.27214828793047,-5.52338372695792,	
167,-2.25058560142524,-5.51309594459488,	
168,-2.19089951401739,-5.46411540204708,	
169,-2.14541975866256,-5.42995411102662,	
170,-2.14814487160854,-5.44544821762088,	
171,-2.05079616182265,-5.35874699966627,	
172,-2.09350976888986,-5.41579576561646,	
173,-2.09577235237547,-5.4317107553008,	
174,-2.0612747374325,-5.4102210144253,	
175,-2.08978709806497,-5.4536800567818,	
176,-2.08042636697194,-5.45853470441988,	
177,-2.06919117820518,-5.46171784615364,	
178,-2.08541295817196,-5.49343196835296,	
179,-2.10026067191358,-5.52400877300505,	
180,-2.05284760514853,-5.49059092628193,	
181,-2.07999724842671,-5.5343270863816,	
182,-2.05626554694449,-5.5256931379647,	
183,-2.09608672201447,-5.58300662281453,	
184,-2.01077833028125,-5.51077269096911,	
185,-1.94972887587913,-5.46361833626337,	
186,-1.95104762326225,-5.48125827329124,	
187,-1.90233569446507,-5.44682734393259,	
188,-1.81630299969393,-5.37331396927011,	
189,-1.76779380643181,-5.33872401554788,	
190,-1.7466361921189,-5.33233031660909,	
191,-1.63522284894757,-5.23107317860147,	
192,-1.55022450880932,-5.15717465894205,	
193,-1.52817427788831,-5.14902357689155,	
194,-1.45619688207822,-5.08795753099756,	
195,-1.42256581197598,-5.06687823289708,	
196,-1.37660054529925,-5.0323526842161,	
197,-1.28171204097143,-4.94547829840388,	
198,-1.23671039491118,-4.91087242064641,	
199,-1.12861113528941,-4.80864050608987,	
200,-1.20828505791875,-4.90563329644558,	
201,-1.13901327880725,-4.84354947528907,	
202,-1.12098886582691,-4.83556570902796,	
203,-1.12666402052755,-4.85245505826516,	
204,-1.03508872481589,-4.76458905516128,	
205,-1.02977212377025,-4.76858856599267,	
206,-0.963774139555933,-4.70680161059774,	
207,-0.911971815593612,-4.65683763826603,	
208,-0.769999442687218,-4.5143970865237,	
209,-0.780026450438631,-4.53260710701133,	
210,-0.653080038138438,-4.40199626454851,	
211,-0.588092314705789,-4.3377324020492,	
212,-0.622609107728289,-4.3809555618182,	
213,-0.657475794589338,-4.42425899580138,	
214,-0.726509700741851,-4.50455971820475,	
215,-0.747408941171692,-4.53213114671232,	
216,-0.782289153795519,-4.57468334084702,	
217,-0.731523983025584,-4.52309331994703,	
218,-0.704755908774678,-4.49732132875565,	
219,-0.739872162225156,-4.53920877581476,	
220,-0.761431128018323,-4.56594317688059,	
221,-0.735979540368141,-4.54053588331514,	
222,-0.722210253257165,-4.52765299749713,	
223,-0.733122015788071,-4.54178172510944,	
224,-0.719529612580746,-4.52843565319112,	
225,-0.754764087011439,-4.56909598343027,	
226,-0.752866696566891,-4.56823299957113,	
227,-0.691086190040998,-4.50017296160768,	
228,-0.738052894274079,-4.55330652651029,	
229,-0.783990133834313,-4.60522979876645,	
230,-0.676977413284284,-4.48512292824321,	
231,-0.686873234220563,-4.49593850625011,	
232,-0.661070718862952,-4.46618497557908,	
233,-0.613603262626812,-4.41148558836521,	
234,-0.566826609082858,-4.35701933160381,	
235,-0.625230172551102,-4.42150024733535,	
236,-0.624762799551271,-4.41885197237763,	
237,-0.798434323827015,-4.61456283529592,	
238,-0.822020760364438,-4.63905637825907,	
239,-0.786537844894063,-4.5955013798758,	
240,-0.649048383421827,-4.4341795630491,	
241,-0.500843710398976,-4.25942788930323,	
242,-0.54973594552051,-4.30824099041176,	
243,-0.480395765892665,-4.22457385592177,	
244,-0.446999940134425,-4.18014632479966,	
245,-0.292101215351028,-3.99382937151088,	
246,-0.233799338581313,-3.91841120276439,	
247,-0.30449018468807,-3.99184461999897,	
248,-0.252457516851414,-3.92193772975116,	
249,-0.350084468627511,-4.02564379010279,	
250,-0.36766924000975,-4.03551300086833,	
251,-0.405659885702917,-4.06846563978184,	
252,-0.400762818771183,-4.05055077477529,	
253,-0.341487771175402,-3.96808188814161,	
254,-0.360598319368126,-3.97642362401749,	
255,-0.379009452186513,-3.9823085184762,	
256,-0.400816965513629,-3.99101484414008,	
257,-0.353426918874218,-3.91961022201626,	
258,-0.3289304067951,-3.87383361018715,	
259,-0.283738690990284,-3.80335606893818,	
260,-0.363209723832828,-3.87596064210193,	
261,-0.262185156627202,-3.73919817580002,	
262,-0.397214938590085,-3.87398793586382,	
263,-0.444537629686097,-3.90648615017304,	
264,-0.424187300800338,-3.86008684227608,	
265,-0.394211280452334,-3.80183491117001,	
266,-0.318238886691529,-3.69080584654843,	
267,-0.401682198071886,-3.76117801933915,	
268,-0.396183267727869,-3.72936400413999,	
269,-0.413136264686011,-3.72237705815677,	
270,-0.510295667593482,-3.80512181271104,	
271,-0.471197157104622,-3.73347191217929,	
272,-0.489840162933761,-3.72653365700201,	
273,-0.600269754565028,-3.82242063636495,	
274,-0.722829379906921,-3.93023804226221,	
275,-0.799683304454116,-3.98689885266259,	
276,-0.821002351205445,-3.98018294291195,	
277,-0.818878191745833,-3.94717111052852,	
278,-0.841008993835875,-3.94018589425982,	
279,-0.838614794253457,-3.90752222793722,	
280,-0.846320553802314,-3.88671931599498,	
281,-0.87884821850709,-3.89340735212142,	
282,-0.910914594922766,-3.8996679560552,	
283,-0.907757991467693,-3.86718746817436,	
284,-0.927369446613227,-3.86000986705753,	
285,-0.888887651098929,-3.78901059335877,	
286,-0.966960456794755,-3.84672844191756,	
287,-0.938619455699516,-3.78744851241365,	
288,-0.946883705436983,-3.76878937531495,	
289,-0.909213370986984,-3.69988398556084,	
290,-0.985001636861466,-3.75622035145365,	
291,-0.991320386487172,-3.73706318090094,	
292,-0.95037427063278,-3.66531966267158,	
293,-0.92138628999752,-3.60716394058682,	
294,-0.916878699182806,-3.57633807729778,	
295,-0.897561422123688,-3.52962129221975,	
296,-0.855864659365228,-3.45870755949707,	
