time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
45,-4.601805906,-5.516574074,-4.492998899,-3.839113013,-4.706117117,-4.594927928,-4.077679479,-4.053219219,-3.590466967,-4.091048148
46,-4.592025225,-5.559569369,-4.517873874,-3.769936036,-4.663524324,-4.503108108,-4.196358559,-4.088637838,-3.705316216,-4.080563063
47,-4.581808008,-5.462722022,-4.542748849,-3.700759059,-4.620931532,-4.411288288,-4.315037638,-4.124056456,-3.820165465,-4.082808909
48,-4.571590791,-5.365874675,-4.564736136,-3.631582082,-4.578338739,-4.322011411,-4.331370571,-4.159475075,-3.935014715,-4.085054755
49,-4.558708709,-5.316808408,-4.474464565,-3.668688889,-4.534348649,-4.233041441,-4.228872072,-4.109435135,-3.870147748,-4.056251051
50,-4.543973473,-5.28885025,-4.384192993,-3.726507407,-4.488495495,-4.199829429,-4.126373574,-4.054483784,-3.780159159,-4.004881281
51,-4.529238238,-5.260892092,-4.293921421,-3.784325926,-4.442642342,-4.27943003,-4.065781381,-3.999532432,-3.690170571,-3.953511512
52,-4.506490991,-5.17466967,-4.37716036,-3.842144444,-4.396789189,-4.359030631,-4.079609009,-3.964418919,-3.669772973,-3.943274474
53,-4.452363363,-5.082745546,-4.481098799,-3.845611011,-4.361477778,-4.396318919,-4.093436637,-3.970303604,-3.674356757,-3.990373974
54,-4.398235736,-5.015838238,-4.585037237,-3.804491992,-4.417088889,-4.420913514,-4.130203504,-3.976188288,-3.678940541,-4.037473473
55,-4.344108108,-5.119154054,-4.566964865,-3.763372973,-4.4727,-4.428902703,-4.233024324,-3.982072973,-3.762435135,-4.067959459
56,-4.407778579,-5.22246987,-4.510732733,-3.722253954,-4.528311111,-4.373545345,-4.335845145,-3.929945646,-3.899789489,-4.050245746
57,-4.497843644,-5.347718418,-4.454500601,-3.706994294,-4.583922222,-4.318187988,-4.423400701,-3.853721021,-4.037143844,-4.032532032
58,-4.587908709,-5.514533033,-4.463598498,-3.76464955,-4.54265045,-4.280917117,-4.427913213,-3.777496396,-4.106202703,-4.011848348
59,-4.603998498,-5.681347648,-4.511049349,-3.822304805,-4.473928529,-4.253550751,-4.432425726,-3.711462763,-4.092737838,-3.962850951
60,-4.522231231,-5.675238939,-4.5585002,-3.87996006,-4.405206607,-4.226128228,-4.433669269,-3.752434535,-4.079272973,-3.913853554
61,-4.440463964,-5.534729429,-4.569821922,-3.937615315,-4.336484685,-4.198098198,-4.376263664,-3.793406306,-4.057454054,-3.864856156
62,-4.362385886,-5.39421992,-4.544787287,-3.948848048,-4.316804805,-4.170068168,-4.318858058,-3.834378078,-4.017154955,-3.907813714
63,-4.364334835,-5.390739439,-4.519752653,-3.958853754,-4.355975375,-4.167910811,-4.261452452,-3.838870871,-3.976855856,-3.957317217
64,-4.366283784,-5.425920721,-4.532148649,-3.968859459,-4.395145946,-4.189343243,-4.139201802,-3.801794595,-3.930454054,-4.006820721
65,-4.368232733,-5.461102002,-4.609168468,-3.978865165,-4.434316517,-4.210775676,-4.013560561,-3.764718318,-3.854216817,-4.100923223
