Var1,Var2_1,Var2_2,Var2_3,Var2_4
106,-20.0516487,-20.47124589,-18.36323818,-21.65252667
107,-20.0315133,-20.45707165,-18.34315006,-21.63719598
108,-20.01083229,-20.44271251,-18.32393062,-21.62210237
109,-19.98961412,-20.42817132,-18.30556642,-21.60724219
110,-19.96786709,-20.41341518,-18.28804424,-21.59261182
111,-19.94559938,-20.39844001,-18.27135105,-21.57377529
112,-19.92283299,-20.38324919,-18.25547404,-21.55523007
113,-19.89958557,-20.36784606,-18.24035177,-21.53697166
114,-19.87586456,-20.3522339,-18.22597255,-21.5189956
115,-19.85167728,-20.33641594,-18.21232491,-21.50129755
116,-19.82703094,-20.3203928,-18.19939752,-21.4838732
117,-19.80192416,-20.30416471,-18.18717925,-21.46210626
118,-19.77634657,-20.28773484,-18.17551224,-21.44067595
119,-19.75030543,-20.27110631,-18.16360457,-21.41957705
120,-19.72380792,-20.25428219,-18.15145997,-21.39880445
121,-19.69686111,-20.23726551,-18.13908208,-21.3783531
122,-19.66947333,-20.22006628,-18.12647453,-21.35821803
123,-19.6416706,-20.20274942,-18.11364086,-21.33839435
124,-19.61345933,-20.18531675,-18.10051828,-21.31415252
125,-19.58484584,-20.16777006,-18.08696763,-21.29028558
126,-19.55583635,-20.1501111,-18.07299552,-21.26678775
127,-19.52643698,-20.13234163,-18.05860847,-21.24365332
128,-19.49660799,-20.11446334,-18.0438129,-21.22087666
129,-19.46634532,-20.09656873,-18.02861512,-21.19845224
130,-19.43565569,-20.07869015,-18.01303221,-21.17637461
131,-19.40454568,-20.06082735,-17.99708216,-21.15004165
132,-19.37302181,-20.04298008,-17.98077065,-21.12411592
133,-19.34109683,-20.02514812,-17.96410328,-21.09859114
134,-19.30878211,-20.00733121,-17.94708554,-21.0734611
135,-19.27608368,-19.98959799,-17.92972286,-21.04871969
136,-19.24300746,-19.97206154,-17.91192731,-21.02436091
137,-19.2095593,-19.95471881,-17.89365119,-20.99597482
138,-19.17574151,-19.93756681,-17.87490194,-20.96802772
139,-19.14155154,-19.92060259,-17.85568686,-20.94051283
140,-19.10699517,-19.90382324,-17.83601317,-20.91342345
141,-19.07207805,-19.8872279,-17.81588795,-20.88675301
142,-19.03680576,-19.87096748,-17.79512653,-20.86049503
143,-19.00118222,-19.85503681,-17.77368762,-20.83464313
144,-18.96517157,-19.83943078,-17.75158171,-20.80500836
145,-18.92877981,-19.82414439,-17.72881911,-20.77583189
146,-18.89201282,-19.80917268,-17.70540997,-20.74710664
147,-18.85487641,-19.79451078,-17.6813643,-20.71882563
148,-18.8173763,-19.78020963,-17.65642852,-20.69098198
149,-18.7795944,-19.76629367,-17.63060176,-20.66356893
150,-18.74155674,-19.75275696,-17.6038978,-20.63299704
151,-18.70326727,-19.73959363,-17.57633021,-20.60289794
152,-18.66472988,-19.7267979,-17.54791234,-20.57326433
153,-18.6259484,-19.71436409,-17.51865735,-20.544089
154,-18.58667683,-19.7023093,-17.48857817,-20.51536487
155,-18.54669314,-19.69068417,-17.45768757,-20.48708496
156,-18.50600834,-19.67948206,-17.42599808,-20.4592424
157,-18.46463327,-19.66869641,-17.39352206,-20.42967162
158,-18.42257861,-19.6583208,-17.36027168,-20.40055815
159,-18.37995314,-19.64834887,-17.32620568,-20.37189492
160,-18.33704085,-19.63877439,-17.29118762,-20.34367497
161,-18.29384618,-19.62955909,-17.25523224,-20.31589145
162,-18.25037349,-19.62069474,-17.21835401,-20.28853759
163,-18.20662708,-19.61217591,-17.18056722,-20.26160677
164,-18.16261249,-19.60399727,-17.14188592,-20.23309479
165,-18.1185784,-19.59615356,-17.10231684,-20.20502375
166,-18.07452512,-19.58863959,-17.06186396,-20.17738682
167,-18.03045294,-19.58140758,-17.02054094,-20.15017731
168,-17.98636216,-19.57441971,-16.97836124,-20.12338859
169,-17.94225307,-19.5676722,-16.93533811,-20.09701416
170,-17.8982721,-19.56116133,-16.8914846,-20.06913822
