Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6
72,-19.30177954,-23.51474028,-22.67398433,-25.49841241,-24.39221221,-18.19186424
73,-19.25541009,-23.51612949,-22.62512656,-25.47014594,-24.3574568,-18.16248218
74,-19.20904064,-23.51657832,-22.5762688,-25.44075245,-24.32171436,-18.13202024
75,-19.1626712,-23.49405474,-22.52741103,-25.41024937,-24.28500014,-18.10049512
76,-19.11630175,-23.47153117,-22.47855327,-25.37865386,-24.2473233,-18.06792326
77,-19.0699323,-23.44900759,-22.4296955,-25.34590207,-24.20862626,-18.03432085
78,-19.03370102,-23.42648401,-22.36423714,-25.31200162,-24.16892481,-17.99970383
79,-19.05322962,-23.40396044,-22.29123306,-25.27697027,-24.12823447,-17.96408789
80,-19.07275823,-23.380398,-22.21822898,-25.24082552,-24.08657054,-17.92725593
81,-19.09228684,-23.3554413,-22.14522489,-25.20358458,-24.04394807,-17.88909991
82,-19.11181544,-23.3304846,-22.07222081,-25.16526441,-24.0003819,-17.84964032
83,-19.13134405,-23.3055279,-21.99921672,-25.12588169,-23.95588702,-17.80889731
84,-19.15087266,-23.2805712,-21.92621264,-25.08544985,-23.91047787,-17.76689073
85,-19.1526027,-23.2556145,-21.8573086,-25.0439801,-23.86416861,-17.72364013
86,-19.1483999,-23.19356788,-21.78977123,-25.00148849,-23.81697314,-17.67913236
87,-19.14419709,-23.12308011,-21.72223387,-24.95799083,-23.76890517,-17.63314407
88,-19.13999428,-23.05259235,-21.65469651,-24.91350267,-23.71997821,-17.58569816
89,-19.13579147,-22.98210458,-21.58715915,-24.86803934,-23.67021938,-17.53681716
90,-19.13158867,-22.91161681,-21.51962178,-24.82161591,-23.61965128,-17.48652328
91,-19.10082637,-22.84608473,-21.45208442,-24.77424723,-23.56828643,-17.43483837
92,-19.01989613,-22.80010011,-21.37924371,-24.72573228,-23.51613714,-17.38178393
93,-18.9389659,-22.75411548,-21.30517914,-24.67605504,-23.46321556,-17.32712683
94,-18.85803567,-22.70813085,-21.23111458,-24.62523347,-23.40953362,-17.27071383
95,-18.77710544,-22.66214622,-21.15705002,-24.57328527,-23.35505057,-17.2125721
96,-18.6961752,-22.61616159,-21.08298545,-24.52022787,-23.29967855,-17.15272836
97,-18.61524497,-22.54004292,-21.00892089,-24.46607842,-23.24343131,-17.09120893
98,-18.5070428,-22.44297391,-20.93485632,-24.41085381,-23.18632239,-17.02803974
99,-18.39717093,-22.3459049,-20.8576485,-24.35460414,-23.12836511,-16.9632438
100,-18.28729905,-22.24883589,-20.77999164,-24.29740651,-23.06957259,-16.89680633
101,-18.17742717,-22.15176688,-20.70233478,-24.23927556,-23.00996033,-16.82875274
102,-18.06755529,-22.05469787,-20.62467792,-24.18022575,-22.94956429,-16.759108
103,-17.95768341,-21.99542516,-20.54702106,-24.12027127,-22.8883966,-16.68789673
104,-17.84663926,-21.93702133,-20.4693642,-24.05942612,-22.82646918,-16.61514315
105,-17.73459029,-21.8786175,-20.39170734,-23.99770407,-22.76379379,-16.54087111
106,-17.62254133,-21.82021367,-20.30167923,-23.93511868,-22.70038199,-16.46507982
107,-17.51049237,-21.76180984,-20.21082636,-23.8716595,-22.63624518,-16.38777118
108,-17.39844341,-21.70009529,-20.11997349,-23.80733555,-22.57133069,-16.30896867
109,-17.28639445,-21.63262516,-20.02912062,-23.74216022,-22.50563985,-16.22869537
110,-17.17392754,-21.56515503,-19.93826776,-23.67614667,-22.43918465,-16.14697404
111,-17.05877386,-21.4976849,-19.84741489,-23.60930786,-22.37197691,-16.06382707
112,-16.94362018,-21.43021477,-19.75656202,-23.54165656,-22.30402828,-15.9792765
113,-16.8284665,-21.36274464,-19.64380225,-23.47320534,-22.23535021,-15.8932796
114,-16.71331282,-21.28109969,-19.53104249,-23.40397867,-22.16605072,-15.80585871
115,-16.59815914,-21.19480033,-19.41828272,-23.33401303,-22.09620064,-15.71703587
116,-16.48300547,-21.10850097,-19.30552295,-23.26331987,-22.02580847,-15.62683275
117,-16.36584913,-21.02220161,-19.19276318,-23.19191042,-21.95488261,-15.5352707
118,-16.24795498,-20.93590225,-19.08000342,-23.11979577,-21.88343129,-15.44237074
119,-16.13006083,-20.8430558,-18.96763474,-23.04698683,-21.81146266,-15.34812193
120,-16.01216668,-20.71014116,-18.86113235,-22.97349432,-21.73893824,-15.25250952
121,-15.89427253,-20.57722653,-18.75462996,-22.89932882,-21.66578708,-15.15555461
122,-15.77637838,-20.4443119,-18.64812757,-22.82449526,-21.59201888,-15.05727797
123,-15.65389215,-20.31139726,-18.54162519,-22.74900274,-21.51764318,-14.95770002
124,-15.52195166,-20.17848263,-18.4351228,-22.67286146,-21.44266936,-14.8568409
125,-15.39001117,-20.0671897,-18.32862041,-22.59608146,-21.3671067,-14.75472043
126,-15.25807067,-19.97521829,-18.22010631,-22.51867262,-21.29094129,-14.65141259
127,-15.12613018,-19.88324689,-18.09751015,-22.44064465,-21.21402158,-14.54693915
128,-14.99418969,-19.79127548,-17.974914,-22.36200713,-21.13635923,-14.44131815
129,-14.86224919,-19.69930408,-17.85231784,-22.28279365,-21.05796573,-14.33456733
130,-14.72656169,-19.60733267,-17.72972169,-22.20306727,-20.97885238,-14.22670416
131,-14.59056194,-19.47224306,-17.60712554,-22.12283595,-20.89903031,-14.11774584
132,-14.45456219,-19.33318552,-17.48452938,-22.04210748,-20.81851049,-14.00771098
133,-14.31856243,-19.19412797,-17.359067,-21.96088956,-20.7371865,-13.89661862
134,-14.18256268,-19.05507043,-17.22118428,-21.87918976,-20.65505499,-13.7844851
135,-14.04656293,-18.91601288,-17.08330157,-21.79701552,-20.57212846,-13.67132654
136,-13.91368406,-18.79196576,-16.94541885,-21.71437419,-20.48841918,-13.55715877
137,-13.78369489,-18.70238704,-16.80753613,-21.63134642,-20.40393928,-13.44199741
138,-13.65370573,-18.61280831,-16.66965342,-21.5479569,-20.31870066,-13.32585783
139,-13.52371657,-18.52322958,-16.5317707,-21.46421121,-20.23252737,-13.20875413
140,-13.3937274,-18.43365086,-16.38943297,-21.38011487,-20.14532716,-13.09070107
141,-13.26373824,-18.34407213,-16.23373019,-21.2956733,-20.05711589,-12.97171335
142,-13.13471842,-18.24011129,-16.07802741,-21.21089183,-19.96790921,-12.85180542
143,-13.01313023,-18.12971941,-15.92232463,-21.12577573,-19.87772251,-12.7309915
144,-12.89154203,-18.01932754,-15.76662185,-21.04036542,-19.78657095,-12.60928561
145,-12.76995384,-17.90893566,-15.61091907,-20.95475357,-19.69442522,-12.48667588
146,-12.64836565,-17.79854379,-15.45521629,-20.86894329,-19.60123264,-12.36312924
147,-12.52677746,-17.68777229,-15.29127878,-20.78293765,-19.50700938,-12.23866016
148,-12.40518927,-17.57255379,-15.10922486,-20.69673968,-19.41177139,-12.11328292
149,-12.28565448,-17.45733529,-14.92717095,-20.61035235,-19.31553435,-11.98701157
150,-12.16695215,-17.34211679,-14.74511703,-20.52377858,-19.21831373,-11.85985992
