Var1,Var2_1,Var2_2,Var2_3,Var2_4
419,-2.926680622,-1.269101859,15.68681661,-1.054793804
420,-2.940977071,-1.278743797,15.65915062,-1.065627728
421,-2.963504981,-1.293460303,15.63227012,-1.076294106
422,-2.989913045,-1.30840488,15.60623652,-1.082770436
423,-3.012900101,-1.323574002,15.58116283,-1.089146609
424,-3.032519055,-1.338964196,15.55703419,-1.095424175
425,-3.048821996,-1.354572042,15.53383599,-1.101604658
426,-3.061860206,-1.370394176,15.51155384,-1.107689559
427,-3.07175303,-1.386427283,15.49017357,-1.113680357
428,-3.079103251,-1.40179396,15.47004115,-1.116319434
429,-3.083950188,-1.416083937,15.45146117,-1.118917697
430,-3.086332557,-1.429313866,15.43440964,-1.121475778
431,-3.08628847,-1.44150014,15.4188629,-1.123994299
432,-3.083855455,-1.4526589,15.40479771,-1.12647387
433,-3.07923456,-1.462806035,15.39219113,-1.128915095
434,-3.072487987,-1.471885647,15.38136622,-1.131318566
435,-3.063648609,-1.479756556,15.37245494,-1.123829665
436,-3.052748792,-1.486437454,15.3654277,-1.116456581
437,-3.039820399,-1.491946746,15.36025535,-1.109197522
438,-3.025916037,-1.49630255,15.35690921,-1.102050725
439,-3.011746682,-1.499522704,15.35536104,-1.095014453
440,-2.997316433,-1.501624772,15.35560042,-1.088086997
441,-2.982629325,-1.502856769,15.35760294,-1.071963427
442,-2.96768933,-1.503244539,15.36134136,-1.05608921
443,-2.953356124,-1.502801139,15.36678881,-1.040460487
444,-2.941305112,-1.501539421,15.37391888,-1.025073464
445,-2.931500998,-1.499472041,15.38270554,-1.009924401
446,-2.923909036,-1.496611459,15.39343127,-0.99500962
447,-2.918495014,-1.493078841,15.40606609,-0.980325496
448,-2.914953401,-1.488961519,15.42058047,-0.959757549
449,-2.910083677,-1.484268536,15.43694536,-0.939507687
450,-2.903906381,-1.479008794,15.45513212,-0.91957099
451,-2.896441735,-1.473191058,15.4749938,-0.899942615
452,-2.887709647,-1.466823957,15.49587105,-0.880617793
453,-2.877729719,-1.459739538,15.51774814,-0.861591831
454,-2.866286274,-1.45133384,15.54060963,-0.842860105
455,-2.853350733,-1.441627296,15.56444028,-0.819480531
456,-2.838946171,-1.430640025,15.58922511,-0.796462523
457,-2.823095307,-1.418391833,15.61472901,-0.773800489
458,-2.805820507,-1.40490222,15.64046348,-0.751488924
459,-2.788646965,-1.390190384,15.66642494,-0.729522409
460,-2.772739124,-1.374200881,15.69260988,-0.707895607
461,-2.75807741,-1.356941353,15.71901484,-0.679888236
462,-2.744642552,-1.338431441,15.74563643,-0.652314001
463,-2.732415576,-1.318690483,15.77225705,-0.625166202
464,-2.721305388,-1.297737517,15.79863867,-0.598438245
465,-2.711129912,-1.275591286,15.82478499,-0.572123637
466,-2.70187469,-1.252348405,15.85069964,-0.546215985
467,-2.693525492,-1.228104995,15.87638621,-0.520708996
468,-2.686068306,-1.202876529,15.90184822,-0.492253607
469,-2.679483472,-1.176678241,15.92711547,-0.464238281
470,-2.67363954,-1.14952513,15.95220631,-0.436656213
471,-2.668525051,-1.121431962,15.97712346,-0.409500703
472,-2.664128724,-1.092777787,16.00186963,-0.382765154
473,-2.660439454,-1.065931932,16.02644744,-0.356443071
474,-2.657446306,-1.04086643,16.05085951,-0.330528061
475,-2.652940051,-1.017553749,16.07266533,-0.30409531
476,-2.646357833,-0.995966782,16.09125371,-0.278071343
477,-2.637731757,-0.976078839,16.10667443,-0.252449837
478,-2.627093431,-0.957863646,16.11897645,-0.227224569
479,-2.614473974,-0.940062954,16.12820803,-0.202389411
480,-2.600129524,-0.922303695,16.13441663,-0.177938329
481,-2.584285466,-0.904585229,16.14055053,-0.153311148
482,-2.566964989,-0.886906924,16.14677207,-0.129064826
483,-2.548190929,-0.869268159,16.15307991,-0.105193475
484,-2.527985763,-0.851668322,16.15947269,-0.081691296
485,-2.506882233,-0.835818979,16.16594912,-0.058552578
486,-2.486249306,-0.824181048,16.17255243,-0.035771702
487,-2.466079705,-0.816689399,16.1796592,-0.013343133
488,-2.446366265,-0.813279911,16.18726164,0.009138286
489,-2.427101931,-0.813889453,16.19535208,0.031272028
490,-2.408247581,-0.81845587,16.20392299,0.053063472
491,-2.38779128,-0.826651067,16.21296692,0.07451791
492,-2.365757801,-0.832699612,16.22254118,0.095640554
493,-2.342171534,-0.836634704,16.23281849,0.116436536
494,-2.317056495,-0.838489026,16.24378796,0.136967805
495,-2.290436326,-0.838294758,16.2554389,0.157181557
496,-2.262968255,-0.836083581,16.26776076,0.177082702
497,-2.23486791,-0.831886687,16.28074317,0.196676076
498,-2.206145067,-0.827398254,16.29415818,0.215966437
499,-2.176809353,-0.82340011,16.30769967,0.234958472
