Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_10,Var2_11
231,-13.1313018,-11.02710559,-10.71762274,-11.88029828,-12.22659155,-12.57402865,-13.23514667,-10.97992867,-11.76439165,-11.47175748
232,-13.13974486,-11.04240889,-10.72884336,-11.88901195,-12.23642438,-12.57654973,-13.24158,-10.99490114,-11.76956426,-11.48724216
233,-13.14811874,-11.05750815,-10.74006398,-11.89722785,-12.24730234,-12.57907081,-13.24801333,-11.00987361,-11.7747635,-11.50272685
234,-13.15649261,-11.07260741,-10.7512846,-11.90544374,-12.25873658,-12.58216486,-13.25450945,-11.02490859,-11.77996274,-11.51821153
235,-13.16486649,-11.08770667,-10.76247676,-11.91365964,-12.27017081,-12.58531622,-13.26180829,-11.0407427,-11.78516198,-11.53324865
236,-13.17324036,-11.10280593,-10.77337315,-11.92187554,-12.28160505,-12.58846757,-13.26910713,-11.05657682,-11.79036122,-11.54823604
237,-13.18161423,-11.11774336,-10.78426955,-11.92966905,-12.29303928,-12.59161892,-13.27640597,-11.07241093,-11.79575465,-11.56322342
238,-13.18915495,-11.13259694,-10.79516595,-11.93724366,-12.30500505,-12.59477027,-13.2837048,-11.08824505,-11.80164523,-11.57821081
239,-13.19657417,-11.14745051,-10.80606234,-11.94481828,-12.31778583,-12.59870559,-13.29100364,-11.10407916,-11.8075358,-11.5931982
240,-13.20399339,-11.16230408,-10.81692262,-11.95239289,-12.33056661,-12.60276468,-13.29913371,-11.12061982,-11.81342637,-11.60799892
241,-13.21141261,-11.17715766,-10.82765075,-11.95996751,-12.34334739,-12.60682378,-13.30735988,-11.13724216,-11.81931694,-11.62245297
242,-13.21883183,-11.19184018,-10.83837888,-11.96728198,-12.35612817,-12.61088288,-13.31558605,-11.1538645,-11.82520751,-11.63690703
243,-13.22625105,-11.20649387,-10.84910701,-11.97455261,-12.36903439,-12.61494198,-13.32381221,-11.17048685,-11.83171512,-11.65136108
244,-13.23284865,-11.22114757,-10.85983514,-11.98182324,-12.38273189,-12.61988324,-13.33203838,-11.18710919,-11.83852865,-11.66581514
245,-13.23926366,-11.23580126,-10.87055626,-11.98909387,-12.39642939,-12.62502054,-13.34089624,-11.20423243,-11.84534218,-11.68026919
246,-13.24567868,-11.25044174,-10.88126386,-11.99636054,-12.41012689,-12.63015784,-13.3499995,-11.22155027,-11.85215572,-11.69422162
247,-13.25209369,-11.26484559,-10.89197147,-12.00355622,-12.42382438,-12.63529514,-13.35910276,-11.23886811,-11.85896925,-11.70804865
248,-13.25850871,-11.27924943,-10.90267908,-12.01075189,-12.43752188,-12.64043243,-13.36820603,-11.25618595,-11.86583824,-11.72187568
249,-13.26492372,-11.29365327,-10.91338669,-12.01794757,-12.45159049,-12.64642739,-13.37730929,-11.27350378,-11.87363888,-11.7357027
250,-13.27050126,-11.30805712,-10.92414042,-12.02514324,-12.46571021,-12.65267459,-13.38683928,-11.29115586,-11.88143952,-11.74952973
251,-13.27581958,-11.32238913,-10.93494653,-12.03231602,-12.47982993,-12.6589218,-13.39672691,-11.30908805,-11.88924016,-11.76316216
252,-13.2811379,-11.33650565,-10.94575263,-12.03942008,-12.49394965,-12.66516901,-13.40661453,-11.32702024,-11.8970408,-11.77621081
253,-13.28645622,-11.35062216,-10.95655874,-12.04652414,-12.50806937,-12.67141622,-13.41650216,-11.34495243,-11.90484144,-11.78925946
254,-13.29177453,-11.36473868,-10.96736484,-12.05362821,-12.52215838,-12.67840432,-13.42638979,-11.36288462,-11.91305487,-11.80230811
255,-13.29709285,-11.3788552,-10.97827598,-12.06073227,-12.53622865,-12.68567027,-13.4365219,-11.38099449,-11.92178561,-11.81535676
256,-13.30158667,-11.39278739,-10.98925856,-12.06771159,-12.55029892,-12.69293622,-13.44707411,-11.39940967,-11.93051634,-11.82840541
257,-13.30574222,-11.40649165,-11.00024114,-12.07453666,-12.56436919,-12.70020216,-13.45762633,-11.41782484,-11.93924707,-11.8408209
258,-13.30989778,-11.42019592,-11.01122372,-12.08136172,-12.57843946,-12.70746811,-13.46817854,-11.43624002,-11.9479778,-11.85296505
259,-13.31405333,-11.43390018,-11.02220631,-12.08818679,-12.59232877,-12.71535568,-13.47873075,-11.4546552,-11.95670853,-11.86510919
260,-13.31820889,-11.44760444,-11.03337852,-12.09501185,-12.60590074,-12.72353333,-13.48939704,-11.47311926,-11.96611778,-11.87725333
261,-13.32236444,-11.46090362,-11.04462376,-12.10150695,-12.61947271,-12.73171099,-13.50054428,-11.49178945,-11.97566456,-11.88939748
262,-13.32576757,-11.4739791,-11.05586901,-12.10781982,-12.63304468,-12.73988865,-13.51169153,-11.51045964,-11.98521135,-11.90140378
263,-13.32877357,-11.48705457,-11.06711425,-12.11413269,-12.64661666,-12.74806631,-13.52283878,-11.52912983,-11.99475814,-11.91262901
264,-13.33177958,-11.50013005,-11.0783595,-12.12044557,-12.66010134,-12.75673081,-13.53398603,-11.54780002,-12.00430492,-11.92385423
265,-13.33478559,-11.51320553,-11.08985556,-12.12675844,-12.67284408,-12.76567351,-13.5451415,-11.56647123,-12.01401255,-11.93507946
266,-13.33779159,-11.52553475,-11.1013963,-12.13257381,-12.68558683,-12.77461622,-13.5568181,-11.58520711,-12.02429343,-11.94630468
267,-13.3407976,-11.53772326,-11.11293704,-12.13829538,-12.69832957,-12.78355892,-13.56849469,-11.60394298,-12.03457431,-11.95752991
268,-13.34317532,-11.54991177,-11.12447778,-12.14401694,-12.71107231,-12.79250162,-13.58017129,-11.62267886,-12.0448552,-11.96832486
269,-13.34513417,-11.56210028,-11.13601852,-12.1497385,-12.72381506,-12.80181207,-13.59184789,-11.64141473,-12.05513608,-11.97883297
270,-13.34709303,-11.57424987,-11.14775946,-12.15544164,-12.73569075,-12.81137712,-13.60352448,-11.66015061,-12.06541696,-11.98934108
271,-13.34905189,-11.58542649,-11.15950541,-12.16068432,-12.74741027,-12.82094216,-13.6155773,-11.67879568,-12.07612378,-11.99984919
272,-13.35101075,-11.5966031,-11.17125135,-12.16592701,-12.75912979,-12.83050721,-13.6277021,-11.69742336,-12.08710669,-12.0103573
273,-13.35296961,-11.60777972,-11.1829973,-12.17116969,-12.77084931,-12.84007225,-13.63982691,-11.71605105,-12.09808959,-12.02084685
274,-13.35444378,-11.61895634,-11.19473736,-12.17641237,-12.78256883,-12.84990973,-13.65195171,-11.73467874,-12.10907249,-12.03098378
275,-13.35551405,-11.62993185,-11.20642585,-12.18160306,-12.79368294,-12.85997423,-13.66407652,-11.75330643,-12.1200554,-12.04112072
276,-13.35658432,-11.64025481,-11.21811433,-12.18662505,-12.80437544,-12.87003874,-13.67641401,-11.77178292,-12.1310383,-12.05125766
277,-13.35765459,-11.65057778,-11.22980282,-12.19164703,-12.81506793,-12.88010324,-13.68885952,-11.79018264,-12.14268384,-12.06139459
278,-13.35872486,-11.66090074,-11.24149131,-12.19666901,-12.82576042,-12.89016775,-13.70130503,-11.80858236,-12.15433313,-12.07153153
279,-13.35979514,-11.6712237,-11.25306501,-12.20169099,-12.83645291,-12.90039874,-13.71375053,-11.82698208,-12.16598242,-12.0817027
280,-13.36049405,-11.68138631,-11.26425279,-12.20673459,-12.84687045,-12.91079622,-13.72619604,-11.8453818,-12.17763171,-12.09190811
281,-13.36080787,-11.69133866,-11.27544058,-12.21180655,-12.85673371,-12.92119369,-13.73869423,-11.86354252,-12.189281,-12.10211351
282,-13.36112168,-11.70129101,-11.28662837,-12.2168785,-12.86659698,-12.93159117,-13.75124793,-11.88145153,-12.20109774,-12.11231892
283,-13.3614355,-11.71124336,-11.29781616,-12.22195045,-12.87646024,-12.94198865,-13.76380162,-11.89936054,-12.21318535,-12.12252432
284,-13.36174931,-11.72119572,-11.30867073,-12.2270224,-12.8863235,-12.95240955,-13.77635532,-11.91726955,-12.22527295,-12.13272973
285,-13.36206312,-11.73125297,-11.31892278,-12.23219926,-12.89614753,-12.96285856,-13.78890901,-11.93517856,-12.23736056,-12.14336991
286,-13.36209153,-11.74137189,-11.32917483,-12.23743778,-12.90547826,-12.97330757,-13.80141465,-11.95279327,-12.24944817,-12.15403297
287,-13.36175129,-11.75149081,-11.33942689,-12.2426763,-12.91480899,-12.98375658,-13.81381379,-11.96975564,-12.26153578,-12.16469604
288,-13.36141105,-11.76160973,-11.34967894,-12.24791481,-12.92413972,-12.99420559,-13.82621293,-11.986718,-12.27370018,-12.1753591
289,-13.36107081,-11.77172865,-11.3593364,-12.25315333,-12.93347045,-13.00455568,-13.83861207,-12.00368036,-12.28588757,-12.18602216
290,-13.36073057,-11.78224012,-11.36835722,-12.25847105,-12.94280118,-13.01476288,-13.85101121,-12.02064272,-12.29807495,-12.19697495
291,-13.36039033,-11.79283375,-11.37737804,-12.26380535,-12.95187746,-13.02497009,-13.86334789,-12.03739896,-12.31026234,-12.20836234
292,-13.35982306,-11.80342739,-11.38639886,-12.26913964,-12.96089628,-13.0351773,-13.87528336,-12.05283123,-12.32244973,-12.21974973
293,-13.35888823,-11.81402102,-11.39541968,-12.27447393,-12.9699151,-13.0453845,-13.88721884,-12.0682635,-12.33460685,-12.23113712
294,-13.35795339,-11.82462316,-11.40370476,-12.27980753,-12.97893391,-13.05540144,-13.89915431,-12.08369578,-12.3466018,-12.2425245
295,-13.35701856,-11.83557075,-11.41151898,-12.28511267,-12.98795273,-13.06508541,-13.91108979,-12.09912805,-12.35859676,-12.25391189
296,-13.35608372,-11.84651834,-11.41933319,-12.29041782,-12.99679966,-13.07476937,-13.92302527,-12.11456032,-12.37059171,-12.26601604
297,-13.35514889,-11.85746593,-11.42714741,-12.29572296,-13.00551037,-13.08445333,-13.93416074,-12.12802593,-12.38258667,-12.27824667
298,-13.35405081,-11.86841351,-11.43496162,-12.30102811,-13.01422108,-13.0941373,-13.94526162,-12.14140649,-12.39458162,-12.2904773
299,-13.35261718,-11.87932058,-11.44211379,-12.30632404,-13.02293179,-13.10359676,-13.9563625,-12.15478705,-12.40639209,-12.30270793
