Var1,Var2_1,Var2_2,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11
857,3.7588068,1.1199888,-1.4149548,0.0117432,-0.578844,0.541548,4.708368,5.8072896,-0.2600136,3.7974888
858,3.7588068,1.1199888,-1.4149548,0.0117432,-0.578844,0.541548,4.708368,5.8072896,-0.2600136,3.7974888
859,3.477474,0.9374148,-1.477728,-0.1753668,-0.699048,0.30996,4.4740332,5.5850256,-0.3954888,3.6932364
860,3.477474,0.9374148,-1.477728,-0.1753668,-0.699048,0.30996,4.4740332,5.5850256,-0.3954888,3.6932364
861,3.477474,0.9374148,-1.477728,-0.1753668,-0.699048,0.30996,4.4740332,5.5850256,-0.3954888,3.6932364
862,3.2003244,0.7617708,-1.5303708,-0.3553452,-0.8124984,0.082152,4.2371784,5.3628876,-0.529452,3.5916048
863,3.2003244,0.7617708,-1.5303708,-0.3553452,-0.8124984,0.082152,4.2371784,5.3628876,-0.529452,3.5916048
864,3.2003244,0.7617708,-1.5303708,-0.3553452,-0.8124984,0.082152,4.2371784,5.3628876,-0.529452,3.5916048
865,2.9275848,0.5932836,-1.5734124,-0.3553452,-0.9191952,-0.1416744,3.9977784,5.1406992,-0.6619284,3.4921656
866,2.9275848,0.5932836,-1.5734124,-0.3553452,-0.9191952,-0.1416744,3.9977784,5.1406992,-0.6619284,3.4921656
867,2.9275848,0.5932836,-1.5734124,-0.3553452,-0.9191952,-0.1416744,3.9977784,5.1406992,-0.6619284,3.4921656
868,2.9275848,0.5932836,-1.5734124,-0.3553452,-0.9191952,-0.1416744,3.9977784,5.1406992,-0.6619284,3.4921656
869,2.6594568,0.4321296,-1.6073316,-0.5283684,-1.0191384,-0.3613932,3.7560096,4.9183848,-0.7928424,3.3943392
870,2.6594568,0.4321296,-1.6073316,-0.5283684,-1.0191384,-0.3613932,3.7560096,4.9183848,-0.7928424,3.3943392
871,2.6594568,0.4321296,-1.6073316,-0.5283684,-1.0191384,-0.3613932,3.7560096,4.9183848,-0.7928424,3.3943392
872,2.396142,0.4321296,-1.6326072,-0.6945372,-1.1123784,-0.5769036,3.5119476,4.6957176,-0.9221436,3.2976972
873,2.396142,0.4321296,-1.6326072,-0.6945372,-1.1123784,-0.5769036,3.5119476,4.6957176,-0.9221436,3.2976972
874,2.396142,0.4321296,-1.6326072,-0.6945372,-1.1123784,-0.5769036,3.5119476,4.6957176,-0.9221436,3.2976972
875,2.137842,0.2785356,-1.649844,-0.854154,-1.1989152,-0.7880544,3.2658192,4.4726976,-1.0497312,3.2017356
876,2.137842,0.2785356,-1.649844,-0.854154,-1.1989152,-0.7880544,3.2658192,4.4726976,-1.0497312,3.2017356
877,2.137842,0.2785356,-1.649844,-0.854154,-1.1989152,-0.7880544,3.2658192,4.4726976,-1.0497312,3.2017356
878,2.137842,0.2785356,-1.649844,-0.854154,-1.1989152,-0.7880544,3.2658192,4.4726976,-1.0497312,3.2017356
879,1.8847584,0.132678,-1.6596972,-1.0073196,-1.278774,-0.9946692,3.0178764,4.249224,-1.175454,3.1059756
880,1.8847584,0.132678,-1.6596972,-1.0073196,-1.278774,-0.9946692,3.0178764,4.249224,-1.175454,3.1059756
881,1.8847584,0.132678,-1.6596972,-1.0073196,-1.278774,-0.9946692,3.0178764,4.249224,-1.175454,3.1059756
882,1.6370928,-0.0052164,-1.6628724,-1.154286,-1.278774,-1.1965968,2.7683712,4.025322,-1.2991356,3.010014
883,1.6370928,-0.0052164,-1.6628724,-1.154286,-1.278774,-1.1965968,2.7683712,4.025322,-1.2991356,3.010014
