Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_8,Var2_9,Var2_10,Var2_11
623,21.101256,21.498368,19.93424,20.878544,20.152288,19.25448,20.710376,19.93424,18.744864,21.4932
624,21.157744,21.478784,19.904256,20.78012,20.189504,19.255152,20.696504,19.904256,18.7164,21.506776
625,21.157744,21.478784,19.904256,20.78012,20.189504,19.255152,20.696504,19.904256,18.7164,21.506776
626,21.207824,21.453344,19.872688,20.678544,20.219832,19.252584,20.676936,19.872688,18.685208,21.519176
627,21.207824,21.453344,19.872688,20.678544,20.219832,19.252584,20.676936,19.872688,18.685208,21.519176
628,21.207824,21.453344,19.872688,20.678544,20.219832,19.252584,20.676936,19.872688,18.685208,21.519176
629,21.251616,21.422152,19.8394,20.574408,20.243624,19.246976,20.651776,19.8394,18.651344,21.530376
630,21.251616,21.422152,19.8394,20.574408,20.243624,19.246976,20.651776,19.8394,18.651344,21.530376
631,21.289232,21.38548,19.804192,20.4682,20.261176,19.238544,20.621048,19.804192,18.614888,21.540352
632,21.289232,21.38548,19.804192,20.4682,20.261176,19.238544,20.621048,19.804192,18.614888,21.540352
633,21.289232,21.38548,19.804192,20.4682,20.261176,19.238544,20.621048,19.804192,18.614888,21.540352
634,21.320752,21.343456,19.766896,20.36052,20.27292,19.227464,20.58488,19.766896,18.575912,21.549096
635,21.320752,21.343456,19.766896,20.36052,20.27292,19.227464,20.58488,19.766896,18.575912,21.549096
636,21.346344,21.29628,19.727312,20.251944,20.279072,19.21396,20.543296,19.727312,18.534488,21.55656
637,21.346344,21.29628,19.727312,20.251944,20.279072,19.21396,20.543296,19.727312,18.534488,21.55656
638,21.346344,21.29628,19.727312,20.251944,20.279072,19.21396,20.543296,19.727312,18.534488,21.55656
639,21.366144,21.2442,19.685288,20.142984,20.27996,19.21396,20.496416,19.685288,18.490712,21.562648
640,21.366144,21.2442,19.685288,20.142984,20.27996,19.21396,20.496416,19.685288,18.490712,21.562648
641,21.38036,21.187448,19.640608,20.034224,20.275848,19.19824,20.444368,19.640608,18.44468,21.56732
642,21.38036,21.187448,19.640608,20.034224,20.275848,19.19824,20.444368,19.640608,18.44468,21.56732
643,21.38036,21.187448,19.640608,20.034224,20.275848,19.19824,20.444368,19.640608,18.44468,21.56732
644,21.38916,21.126224,19.593136,19.926144,20.266976,19.18052,20.387224,19.593136,18.396464,21.570512
645,21.38916,21.126224,19.593136,19.926144,20.266976,19.18052,20.387224,19.593136,18.396464,21.570512
646,21.392808,21.060848,19.542696,19.819296,20.253544,19.161008,20.325136,19.542696,18.346144,21.572152
647,21.392808,21.060848,19.542696,19.819296,20.253544,19.161008,20.325136,19.542696,18.346144,21.572152
648,21.392808,21.060848,19.542696,19.819296,20.253544,19.161008,20.325136,19.542696,18.346144,21.572152
649,21.391456,20.991568,19.489208,19.714184,20.253544,19.13992,20.258192,19.489208,18.293824,21.572136
650,21.391456,20.991568,19.489208,19.714184,20.253544,19.13992,20.258192,19.489208,18.293824,21.572136
651,21.385408,20.918696,19.432504,19.611216,20.235776,19.117464,20.186584,19.432504,18.239608,21.5704
652,21.385408,20.918696,19.432504,19.611216,20.235776,19.117464,20.186584,19.432504,18.239608,21.5704
653,21.385408,20.918696,19.432504,19.611216,20.235776,19.117464,20.186584,19.432504,18.239608,21.5704
654,21.374872,20.918696,19.372504,19.510848,20.2138,19.093824,20.110424,19.372504,18.18356,21.56684
655,21.374872,20.918696,19.372504,19.510848,20.2138,19.093824,20.110424,19.372504,18.18356,21.56684
656,21.36008,20.842528,19.309216,19.413456,20.1878,19.06924,20.029864,19.309216,18.125768,21.56136
657,21.36008,20.842528,19.309216,19.413456,20.1878,19.06924,20.029864,19.309216,18.125768,21.56136
658,21.36008,20.842528,19.309216,19.413456,20.1878,19.06924,20.029864,19.309216,18.125768,21.56136
659,21.341328,20.763384,19.242552,19.319392,20.157848,19.043888,19.945016,19.242552,18.066352,21.553848
660,21.341328,20.763384,19.242552,19.319392,20.157848,19.043888,19.945016,19.242552,18.066352,21.553848
661,21.318872,20.681632,19.172528,19.228992,20.124096,19.043888,19.856056,19.172528,18.005384,21.544248
662,21.318872,20.681632,19.172528,19.228992,20.124096,19.043888,19.856056,19.172528,18.005384,21.544248
663,21.318872,20.681632,19.172528,19.228992,20.124096,19.043888,19.856056,19.172528,18.005384,21.544248
664,21.292976,20.597656,19.099224,19.142488,20.086616,19.017984,19.763128,19.099224,17.942952,21.532424
665,21.292976,20.597656,19.099224,19.142488,20.086616,19.017984,19.763128,19.099224,17.942952,21.532424
666,21.263904,20.51184,19.022664,19.060072,20.045424,18.991696,19.666408,19.022664,17.87916,21.518304
667,21.263904,20.51184,19.022664,19.060072,20.045424,18.991696,19.666408,19.022664,17.87916,21.518304
668,21.263904,20.51184,19.022664,19.060072,20.045424,18.991696,19.666408,19.022664,17.87916,21.518304
669,21.231936,20.424552,18.942968,18.981992,20.000568,18.96524,19.566024,18.942968,17.814144,21.501832
670,21.231936,20.424552,18.942968,18.981992,20.000568,18.96524,19.566024,18.942968,17.814144,21.501832
671,21.197296,20.33624,18.860272,18.908304,19.952144,18.938768,19.462112,18.860272,17.748008,21.482888
