time,Fx,Tx,Fy,Ty,Fz,Tz
93,27.8606,-1.3225,1.6034,-1.3096,-91.7777,0.6808
94,27.2807,-1.5418,1.8372,-1.1702,-98.9446,0.648
95,27.1072,-2.0015,1.7163,-0.9178,-111.8333,0.6555
96,27.3384,-1.7188,1.8031,-1.0773,-103.0363,0.6655
97,27.2135,-1.818,1.6559,-1.0377,-105.6923,0.6744
98,27.334,-1.8747,1.5573,-1.0051,-106.7072,0.6774
99,27.2593,-1.7331,1.9328,-1.0857,-103.2522,0.6739
100,27.0051,-1.9245,1.9047,-0.9859,-108.3625,0.6662
101,27.0456,-1.7125,1.8971,-1.1061,-102.2202,0.6625
102,26.8609,-1.7765,1.7088,-1.0696,-103.4332,0.6684
103,26.8512,-1.3809,1.9132,-1.3028,-92.1841,0.6498
104,26.6939,-1.5297,2.1074,-1.2183,-95.8736,0.6475
105,26.6861,-1.5439,2.105,-1.2103,-96.2828,0.6475
106,26.8449,-1.3953,2.0005,-1.3029,-92.1868,0.6469
107,26.3644,-1.8549,1.8822,-1.0349,-105.89,0.6377
108,26.4509,-1.6922,1.7363,-1.1191,-101.5813,0.6259
109,26.3398,-1.7632,1.5918,-1.087,-103.2108,0.6346
110,26.544,-1.3886,1.6568,-1.2994,-92.364,0.6246
111,26.5586,-1.5016,1.5041,-1.2352,-95.6331,0.6336
112,26.2981,-1.8485,1.4033,-1.055,-104.8361,0.6406
113,26.2234,-1.8486,1.5392,-1.0637,-105.0488,0.632
114,26.2657,-1.7708,1.7265,-1.1077,-102.809,0.6344
115,26.4563,-1.983,1.4213,-0.9946,-107.912,0.6607
116,26.3479,-1.7714,1.5962,-1.1318,-101.572,0.6427
117,26.2198,-1.7216,1.6904,-1.1438,-100.9644,0.6398
118,26.5448,-1.3959,1.9157,-1.3112,-91.7671,0.6413
119,26.439,-1.5869,1.7935,-1.1945,-97.0794,0.645
120,26.1659,-2.0815,1.7982,-0.9062,-111.8174,0.6443
121,26.2373,-1.8205,1.8013,-1.0706,-103.4212,0.6402
122,26.2397,-1.8132,1.7128,-1.0665,-103.6231,0.6431
123,26.1068,-1.9193,1.6496,-1.0063,-106.6908,0.6492
124,26.5751,-1.749,1.364,-1.0854,-101.9718,0.6628
125,26.7827,-1.6206,1.73,-1.1083,-99.5342,0.6513
126,27.0878,-1.3447,1.5987,-1.2727,-91.7572,0.6642
127,26.9395,-1.6355,1.3804,-1.1492,-98.7026,0.6708
128,27.3177,-1.5087,1.133,-1.2364,-93.5734,0.6955
129,27.2363,-1.5229,0.9154,-1.2371,-94.1757,0.69
130,27.3678,-2.1093,0.6363,-0.8957,-110.9477,0.7066
131,27.6233,-1.911,0.6661,-0.9912,-105.4225,0.7059
132,27.8314,-1.8116,0.8539,-1.0553,-102.7828,0.7251
133,28.0462,-1.4157,1.2735,-1.2798,-91.3417,0.712
134,28.0633,-1.6629,1.0529,-1.1393,-98.498,0.7272
135,28.1444,-1.79,1.2061,-1.0671,-102.1932,0.7304
136,28.3679,-1.7968,1.071,-1.0628,-102.3942,0.739
137,28.5556,-1.867,0.7473,-1.0144,-104.8389,0.7535
138,28.7848,-1.9937,0.7204,-0.9254,-108.7293,0.7626
139,29.148,-1.4707,0.9402,-1.2298,-93.1855,0.7603
140,29.1795,-1.9803,0.6764,-0.9647,-106.0649,0.7847
141,29.237,-2.0158,0.9774,-0.9526,-106.6964,0.7875
142,29.6364,-1.8314,1.0023,-1.0399,-101.5839,0.7953
143,29.8382,-2.1565,0.9039,-0.8635,-110.5872,0.8022
144,30.2211,-1.881,0.6416,-1.0355,-101.7736,0.8151
145,30.1011,-1.9589,0.758,-0.9829,-103.8234,0.8154
146,30.4507,-1.5908,0.9065,-1.1831,-93.5998,0.8111
147,30.5053,-1.9089,0.9836,-1.0107,-102.4083,0.8207
148,30.7075,-2.0777,2.6038,-0.8881,-106.8029,0.8518
149,30.8074,-2.0208,3.0021,-0.8949,-105.1843,0.8515
150,30.9672,-1.8723,2.9021,-0.9962,-101.2939,0.8424
151,31.3913,-1.7944,2.5172,-1.0479,-98.6171,0.8591
152,31.7567,-1.5473,2.518,-1.2042,-90.6325,0.8551
153,31.5399,-2.2189,2.3202,-0.8238,-110.0651,0.8523
154,32.2119,-1.9638,1.8772,-0.976,-102.8885,0.8711
155,32.3077,-1.9207,2.1037,-0.9924,-102.7028,0.8681
156,32.715,-1.7225,2.1301,-1.0872,-96.5624,0.8758
157,32.9516,-1.5743,2.1548,-1.1872,-91.4475,0.8834
158,33.1331,-1.9195,2.3992,-0.9665,-102.7272,0.8878
159,33.0671,-2.0398,2.2932,-0.8985,-106.199,0.8827
160,33.3759,-1.9059,2.099,-1.0071,-101.2791,0.8932
161,33.6194,-1.8625,2.2339,-1.0068,-101.2931,0.8932
162,33.7513,-1.9053,2.1409,-0.9988,-101.6961,0.8961
163,33.9303,-1.9972,1.9929,-0.9546,-103.9417,0.9049
164,34.3025,-1.9888,2.7312,-0.9255,-104.8091,0.9104
165,34.4422,-1.8683,2.6186,-0.9855,-101.7344,0.91
166,34.8325,-1.7052,2.5608,-1.0781,-97.6426,0.9038
167,34.9827,-1.8539,2.4905,-1.0098,-101.1211,0.9183
168,35.243,-1.7971,2.1938,-1.0502,-99.6776,0.9238
169,35.6879,-1.5353,2.2375,-1.1982,-92.1092,0.9227
170,35.8331,-1.6908,2.0835,-1.1267,-96.4019,0.9233
171,35.6355,-2.1857,2.0444,-0.8379,-110.5184,0.9198
172,35.9911,-1.9522,2.0425,-0.9786,-103.9725,0.9159
173,36.3075,-1.9235,2.1286,-0.9856,-102.9574,0.9299
174,36.4111,-2.0007,2.29,-0.9255,-106.0394,0.9247
175,36.7706,-1.4771,2.5074,-1.2137,-91.317,0.9224
176,36.6701,-1.8026,2.2372,-1.0377,-100.3047,0.9182
177,36.9304,-2.0067,2.239,-0.8965,-106.8605,0.9305
178,37.133,-1.7661,2.6771,-1.0248,-100.3332,0.9125
179,37.255,-2.0907,2.6217,-0.8324,-110.1584,0.9139
180,37.5623,-1.8004,2.8431,-0.9884,-102.1922,0.9155
181,37.9334,-1.5239,3.1904,-1.1197,-94.8462,0.9172
182,37.653,-2.0326,3.46,-0.8321,-110.2142,0.908
183,38.3019,-1.3957,3.6483,-1.184,-92.2212,0.9194
184,38.323,-1.6289,3.6958,-1.0433,-98.7709,0.9176
185,38.7586,-1.3811,3.821,-1.1747,-91.4104,0.9221
186,38.8654,-1.585,4.44,-1.0342,-98.6164,0.9229
187,38.721,-1.9959,4.857,-0.8257,-108.6607,0.9214
188,39.0054,-1.7483,4.4626,-0.958,-101.8824,0.9094
189,39.1432,-1.6577,4.0061,-1.0591,-97.3476,0.9031
190,39.3788,-1.9263,3.568,-0.9232,-104.9023,0.9128
191,39.3926,-1.9054,3.5798,-0.9522,-104.0809,0.8957
192,39.6123,-1.8155,3.1674,-1.0773,-98.3201,0.9005
193,39.7843,-1.6538,3.4166,-1.2015,-91.9858,0.905
194,39.9822,-1.9562,3.3988,-0.9717,-102.4282,0.9096
195,40.3081,-1.6526,2.9306,-1.1771,-93.1948,0.9083
196,40.1163,-2.014,2.7883,-0.9972,-102.3911,0.904
197,40.383,-2.0844,2.4249,-0.9654,-104.6302,0.9156
198,40.4049,-1.8115,1.6215,-1.2206,-93.5165,0.8831
199,40.5603,-1.6927,1.0833,-1.3462,-88.3669,0.8796
200,40.3807,-2.4426,1.003,-0.9373,-108.6206,0.8854
