time,Fx,Tx,Fy
151,-26.2881,-1.08866,-21.4077
152,-26.6324,-1.08629,-21.366
153,-26.9759,-1.08198,-21.2899
154,-27.325,-1.07644,-21.192
155,-27.6836,-1.07032,-21.084
156,-28.0531,-1.06405,-20.9731
157,-28.4329,-1.05776,-20.8617
158,-28.8216,-1.0513,-20.747
159,-29.216,-1.04423,-20.6213
160,-29.61,-1.036,-20.4745
161,-29.9975,-1.0262,-20.2992
162,-30.3745,-1.01469,-20.0928
163,-30.7394,-1.00155,-19.8567
164,-31.0921,-0.986874,-19.5922
165,-31.4336,-0.970748,-19.3005
166,-31.7665,-0.953238,-18.9827
167,-32.0942,-0.934389,-18.6392
168,-32.4199,-0.91421,-18.27
169,-32.7466,-0.892695,-17.8745
170,-33.076,-0.869826,-17.4521
171,-33.4086,-0.845547,-17.0013
172,-33.7431,-0.819742,-16.5198
173,-34.0768,-0.792291,-16.0048
174,-34.4051,-0.763188,-15.456
175,-34.7213,-0.732653,-14.8772
176,-35.0187,-0.701047,-14.275
177,-35.2943,-0.668634,-13.6541
178,-35.5497,-0.635463,-13.0152
179,-35.789,-0.601483,-12.3572
180,-36.0152,-0.566677,-11.6797
181,-36.2296,-0.531149,-10.9848
182,-36.432,-0.495194,-10.2784
183,-36.6213,-0.459282,-9.56996
184,-36.7965,-0.423961,-8.87051
185,-36.9575,-0.389716,-8.18997
186,-37.1053,-0.356851,-7.53461
187,-37.2424,-0.32539,-6.90528
188,-37.3719,-0.295109,-6.29773
189,-37.4968,-0.265657,-5.70526
190,-37.6187,-0.236704,-5.12147
191,-37.7386,-0.207979,-4.5411
192,-37.8567,-0.179258,-3.95984
193,-37.973,-0.150389,-3.37475
194,-38.0863,-0.121285,-2.78419
195,-38.1951,-0.0918439,-2.18621
196,-38.299,-0.0618832,-1.5772
197,-38.3991,-0.0311624,-0.952383
198,-38.497,0.000571237,-0.306782
199,-38.5949,0.0335726,0.364618
200,-38.6947,0.0680438,1.06571
201,-38.7975,0.10404,1.79737
202,-38.9032,0.141458,2.55717
203,-39.0103,0.180114,3.34106
204,-39.1169,0.21982,4.14481
205,-39.2203,0.260387,4.96428
206,-39.3175,0.301602,5.7947
207,-39.4053,0.343164,6.62972
208,-39.4799,0.384677,7.46104
209,-39.5366,0.425715,8.27993
210,-39.5713,0.465908,9.07882
211,-39.5811,0.504964,9.85185
212,-39.564,0.542655,10.5946
213,-39.5193,0.578805,11.3037
214,-39.4478,0.613241,11.976
215,-39.3518,0.645781,12.6083
216,-39.234,0.676274,13.1981
217,-39.0962,0.704643,13.7443
218,-38.9371,0.730878,14.2471
219,-38.7528,0.755012,14.7077
220,-38.538,0.777092,15.1275
221,-38.2867,0.797155,15.5075
222,-37.9941,0.815313,15.8501
223,-37.6581,0.831837,16.1609
224,-37.2783,0.847152,16.448
225,-36.8549,0.861722,16.7203
226,-36.3867,0.875991,16.986
227,-35.8718,0.890423,17.2537
228,-35.3099,0.905553,17.5334
229,-34.7047,0.921923,17.8348
230,-34.0646,0.939916,18.1647
231,-33.4012,0.959607,18.5245
232,-32.7256,0.980709,18.9086
233,-32.0442,1.00264,19.3063
234,-31.3578,1.02466,19.7042
235,-30.6625,1.04604,20.089
236,-29.9531,1.06622,20.4507
237,-29.2266,1.08484,20.783
238,-28.4839,1.10164,21.0818
239,-27.7288,1.11631,21.3419
240,-26.9661,1.12843,21.5562
241,-26.1997,1.13759,21.7179
242,-25.4325,1.1435,21.8221
243,-24.6678,1.14609,21.8679
244,-23.9109,1.14552,21.8586
245,-23.1694,1.14214,21.7998
246,-22.4521,1.13622,21.6967
247,-21.7652,1.12787,21.5504
248,-21.1096,1.11686,21.3567
249,-20.4798,1.10273,21.1065
250,-19.8658,1.08478,20.7868
251,-19.2547,1.06234,20.3841
252,-18.6323,1.03483,19.8876
253,-17.9845,1.00201,19.2912
254,-17.3045,0.964218,18.6004
255,-16.6026,0.922727,17.8376
256,-15.9053,0.879495,17.0381
257,-15.2398,0.836333,16.2347
258,-14.6224,0.79437,15.4481
259,-14.0573,0.753993,14.6855
260,-13.5401,0.714975,13.9428
261,-13.0606,0.676749,13.2094
262,-12.6051,0.638774,12.4756
263,-12.1605,0.600697,11.735
264,-11.7177,0.562294,10.9836
265,-11.2721,0.523431,10.2192
266,-10.8241,0.48412,9.4423
267,-10.378,0.444457,8.655
268,-9.9397,0.404488,7.85842
269,-9.51495,0.364208,7.05269
270,-9.1086,0.32368,6.23929
271,-8.72551,0.283104,5.42259
272,-8.37072,0.242805,4.60938
273,-8.04881,0.203158,3.80761
274,-7.76285,0.16453,3.02504
275,-7.51314,0.12723,2.26825
276,-7.29651,0.0914805,1.54208
277,-7.10717,0.0573692,0.848609
278,-6.93926,0.0248208,0.186546
279,-6.79057,-0.00634189,-0.447501
280,-6.66501,-0.0363226,-1.0575
281,-6.57188,-0.0653362,-1.6477
282,-6.52227,-0.0936449,-2.22329
283,-6.52485,-0.121587,-2.79105
284,-6.58265,-0.149535,-3.35842
285,-6.69223,-0.177878,-3.93313
286,-6.84656,-0.207011,-4.52297
287,-7.03925,-0.237271,-5.13445
288,-7.266,-0.268986,-5.77379
289,-7.52324,-0.302629,-6.44999
290,-7.80762,-0.338811,-7.17472
291,-8.11863,-0.378055,-7.95781
292,-8.46268,-0.420474,-8.80081
293,-8.85342,-0.465586,-9.69342
294,-9.3062,-0.51245,-10.6162
295,-9.83164,-0.559975,-11.5471
296,-10.432,-0.60722,-12.4667
297,-11.0993,-0.653599,-13.3632
298,-11.8151,-0.699034,-14.2344
299,-12.5517,-0.743927,-15.0877
300,-13.2775,-0.788829,-15.9335
301,-13.9666,-0.833915,-16.7758
302,-14.6074,-0.878628,-17.6046
303,-15.2037,-0.921671,-18.3971
304,-15.7688,-0.961297,-19.122
305,-16.32,-0.995808,-19.7498
306,-16.8753,-1.02406,-20.261
307,-17.4512,-1.0457,-20.6502
308,-18.0608,-1.06101,-20.9241
309,-18.711,-1.07083,-21.0986
310,-19.3999,-1.07633,-21.1954
311,-20.1193,-1.07877,-21.2373
312,-20.8579,-1.07922,-21.2441
313,-21.6049,-1.07854,-21.2308
314,-22.3507,-1.07738,-21.2095
315,-23.0871,-1.07645,-21.1924
316,-23.8083,-1.07647,-21.1924
317,-24.5152,-1.07797,-21.2187
318,-25.2172,-1.08084,-21.2695
319,-25.9248,-1.0843,-21.3308
320,-26.6405,-1.08729,-21.3838
321,-27.3577,-1.08876,-21.41
322,-28.0666,-1.0879,-21.3949
323,-28.7605,-1.08415,-21.3286
324,-29.4377,-1.07735,-21.2082
325,-30.0993,-1.06775,-21.0377
326,-30.7469,-1.05586,-20.8264
327,-31.3806,-1.04232,-20.5853
328,-31.9982,-1.02776,-20.3253
329,-32.5957,-1.01267,-20.0552
330,-33.1675,-0.99737,-19.7806
331,-33.7085,-0.981982,-19.5036
332,-34.2142,-0.966492,-19.224
333,-34.6811,-0.950813,-18.9401
334,-35.1068,-0.934757,-18.6483
335,-35.4906,-0.917988,-18.3425
336,-35.8341,-0.899985,-18.0128
337,-36.1415,-0.880049,-17.6459
338,-36.4193,-0.857402,-17.2268
339,-36.6744,-0.831393,-16.7427
340,-36.9125,-0.80166,-16.186
341,-37.1375,-0.768023,-15.5518
342,-37.3527,-0.73022,-14.8339
343,-37.5625,-0.687825,-14.0224
344,-37.7712,-0.640382,-13.1072
345,-37.9823,-0.587619,-12.0815
346,-38.1976,-0.529653,-10.9465
347,-38.4147,-0.467085,-9.71307
348,-38.6276,-0.400945,-8.4011
349,-38.8286,-0.332534,-7.03635
350,-39.0103,-0.263226,-5.64673
351,-39.1673,-0.194294,-4.25862
352,-39.2963,-0.126795,-2.89449
353,-39.3967,-0.0615207,-1.5717
354,-39.4705,0.000988305,-0.302602
355,-39.5205,0.0604277,0.905285
356,-39.55,0.116711,2.04904
357,-39.5616,0.169911,3.12926
358,-39.5564,0.220202,4.14874
359,-39.534,0.267783,5.11111
360,-39.4927,0.312794,6.01898
361,-39.4316,0.355292,6.8735
362,-39.3513,0.39532,7.67556
363,-39.2548,0.432973,8.42727
364,-39.1465,0.468439,9.13255
365,-39.0304,0.502002,9.79726
366,-38.9091,0.534032,10.4289
367,-38.7841,0.564939,11.0356
368,-38.656,0.595125,11.6255
369,-38.5251,0.624926,12.2051
370,-38.3918,0.65458,12.7791
371,-38.2569,0.684215,13.3501
372,-38.1201,0.713837,13.9181
373,-37.9786,0.743253,14.4797
374,-37.8257,0.772009,15.0264
375,-37.6524,0.799393,15.545
376,-37.4493,0.824543,16.0196
377,-37.2073,0.846549,16.4336
378,-36.9168,0.86454,16.771
379,-36.5666,0.877808,17.0192
380,-36.1438,0.885946,17.171
381,-35.635,0.888929,17.2263
382,-35.0276,0.887123,17.1921
383,-34.3131,0.881179,17.0807
384,-33.4894,0.871925,16.9075
385,-32.5652,0.860363,16.6912
386,-31.5611,0.847747,16.4551
387,-30.5065,0.835498,16.2258
388,-29.432,0.824898,16.0273
389,-28.362,0.816817,15.8761
390,-27.3102,0.811658,15.7797
391,-26.2822,0.809378,15.7374
392,-25.279,0.809448,15.7393
393,-24.3007,0.810796,15.7652
394,-23.3456,0.811884,15.7861
395,-22.4063,0.810923,15.768
396,-21.4692,0.806112,15.6768
397,-20.5182,0.795929,15.4833
398,-19.547,0.77962,15.1729
399,-18.5669,0.75752,14.7513
400,-17.6027,0.730771,14.2397
401,-16.6805,0.700767,13.664
402,-15.818,0.66882,13.0489
403,-15.0236,0.636142,12.4174
404,-14.2982,0.603885,11.7918
405,-13.6361,0.572993,11.1902
406,-13.0234,0.543939,10.6222
407,-12.4404,0.516551,10.0843
408,-11.8694,0.490086,9.56223
409,-11.3017,0.463547,9.03637
410,-10.7369,0.436026,8.48893
411,-10.1783,0.406938,7.90846
412,-9.63059,0.376146,7.29229
413,-9.09808,0.343921,6.6459
414,-8.58497,0.310772,5.97954
415,-8.09483,0.277245,5.3042
416,-7.63085,0.243786,4.62893
417,-7.19649,0.210672,3.95939
418,-6.79522,0.17797,3.29709
419,-6.42958,0.145592,2.64039
420,-6.10086,0.113386,1.98639
421,-5.80988,0.0811919,1.33201
422,-5.55723,0.0488718,0.674678
423,-5.34162,0.0163424,0.0129062
424,-5.15799,-0.0164385,-0.653931
425,-4.99884,-0.0495031,-1.32624
426,-4.85684,-0.0829147,-2.00505
427,-4.72358,-0.116889,-2.69445
428,-4.58724,-0.151911,-3.40406
429,-4.43704,-0.188565,-4.14546
430,-4.27431,-0.226965,-4.92087
431,-4.12312,-0.266207,-5.71198
432,-4.0275,-0.304487,-6.48238
433,-4.02506,-0.340234,-7.20035
434,-4.12069,-0.373202,-7.86068
435,-4.29083,-0.404247,-8.48036
436,-4.50332,-0.434404,-9.07992
437,-4.72884,-0.464408,-9.67398
438,-4.94618,-0.494719,-10.2716
439,-5.14452,-0.525621,-10.8783
440,-5.32227,-0.55724,-11.4966
441,-5.48501,-0.589482,-12.1246
442,-5.64335,-0.621987,-12.7551
443,-5.81013,-0.654257,-13.3786
444,-5.99855,-0.685846,-13.9864
445,-6.22158,-0.716448,-14.5724
446,-6.48985,-0.746002,-15.1353
447,-6.80826,-0.774842,-15.6812
448,-7.17507,-0.803711,-16.2237
449,-7.58259,-0.833595,-16.7809
450,-8.01654,-0.865492,-17.3708
451,-8.45549,-0.900089,-18.0058
452,-8.87356,-0.937397,-18.6857
453,-9.24549,-0.976631,-19.3959
454,-9.55233,-1.01643,-20.1116
455,-9.78884,-1.05524,-20.8049
456,-9.97161,-1.09163,-21.4508
457,-10.1433,-1.12436,-22.0283
458,-10.367,-1.15219,-22.5167
459,-10.7006,-1.17411,-22.8994
460,-11.1631,-1.18998,-23.175
461,-11.734,-1.20054,-23.3575
462,-12.3824,-1.20682,-23.465
463,-13.0864,-1.20968,-23.5135
464,-13.8326,-1.20998,-23.5177
465,-14.6108,-1.20857,-23.4927
466,-15.4125,-1.2063,-23.453
467,-16.2304,-1.20391,-23.4117
468,-17.0595,-1.2021,-23.3804
469,-17.8959,-1.20152,-23.3701
470,-18.7352,-1.20274,-23.3908
471,-19.5705,-1.20617,-23.4491
472,-20.3916,-1.21195,-23.5476
473,-21.1867,-1.21998,-23.6842
474,-21.9469,-1.22982,-23.8514
475,-22.6702,-1.24061,-24.0348
476,-23.362,-1.25119,-24.2143
477,-24.0325,-1.26029,-24.3686
478,-24.6909,-1.26684,-24.4797
479,-25.3418,-1.27015,-24.536
480,-25.9861,-1.2699,-24.5319
481,-26.6238,-1.26607,-24.4672
482,-27.2547,-1.25895,-24.3466
483,-27.8783,-1.24907,-24.1793
484,-28.4915,-1.23723,-23.9782
485,-29.0876,-1.22431,-23.7584
486,-29.6582,-1.2111,-23.5332
487,-30.1976,-1.198,-23.3092
488,-30.7058,-1.18495,-23.0851
489,-31.1866,-1.17163,-22.8554
490,-31.6448,-1.15778,-22.6155
491,-32.0845,-1.14335,-22.3647
492,-32.5096,-1.12849,-22.1056
493,-32.9245,-1.11348,-21.8428
494,-33.3315,-1.09862,-21.5821
495,-33.7285,-1.08432,-21.3305
496,-34.111,-1.07102,-21.0958
497,-34.4757,-1.05906,-20.8842
498,-34.8215,-1.04846,-20.6964
499,-35.1486,-1.03898,-20.5281
500,-35.4588,-1.03023,-20.3726
501,-35.755,-1.02173,-20.2212
502,-36.0407,-1.01286,-20.0628
503,-36.318,-1.00287,-19.8841
504,-36.5866,-0.991094,-19.6728
505,-36.8458,-0.977044,-19.4196
506,-37.096,-0.960236,-19.115
507,-37.3409,-0.940013,-18.7462
508,-37.5852,-0.915622,-18.2985
509,-37.8329,-0.886466,-17.7596
510,-38.085,-0.852221,-17.1222
511,-38.3398,-0.81291,-16.3853
512,-38.593,-0.769013,-15.5567
513,-38.8386,-0.721476,-14.6533
514,-39.07,-0.671568,-13.6984
515,-39.2808,-0.620714,-12.7191
516,-39.4654,-0.570377,-11.7436
517,-39.6191,-0.521988,-10.8002
518,-39.7374,-0.476897,-9.91638
519,-39.8176,-0.436195,-9.11447
520,-39.8609,-0.400419,-8.40621
521,-39.8722,-0.369377,-7.78889
522,-39.8573,-0.342341,-7.24898
523,-39.821,-0.318419,-6.76953
524,-39.7668,-0.296744,-6.33382
525,-39.6981,-0.276461,-5.92519
526,-39.6191,-0.256733,-5.52704
527,-39.534,-0.236752,-5.12326
528,-39.4468,-0.215732,-4.69799
529,-39.3603,-0.192896,-4.23546
530,-39.2764,-0.167516,-3.72085
531,-39.1954,-0.138988,-3.14183
532,-39.1158,-0.106866,-2.48936
533,-39.0338,-0.0708623,-1.75757
534,-38.9433,-0.0308967,-0.945022
535,-38.8366,0.012812,-0.0564106
536,-38.7065,0.0597784,0.898005
537,-38.5481,0.109357,1.9046
538,-38.3599,0.160801,2.94768
539,-38.1428,0.213251,4.00922
540,-37.8993,0.265713,5.06853
541,-37.6319,0.317148,6.10422
542,-37.3428,0.366687,7.09844
543,-37.0349,0.413753,8.0395
544,-36.7124,0.45803,8.92112
545,-36.3803,0.499344,9.74014
546,-36.0417,0.537535,10.4939
547,-35.6956,0.572363,11.1783
548,-35.3365,0.603516,11.7879
549,-34.9555,0.63072,12.318
550,-34.5418,0.653846,12.767
551,-34.084,0.672935,13.1363
552,-33.5708,0.688182,13.4303
553,-32.9932,0.699835,13.6542
554,-32.3462,0.708085,13.8123
555,-31.6274,0.71306,13.9072
556,-30.8362,0.714965,13.9432
557,-29.9744,0.714305,13.9301
558,-29.0493,0.712033,13.8863
559,-28.0766,0.709367,13.835
560,-27.0782,0.707334,13.7961
561,-26.0785,0.706433,13.779
562,-25.0983,0.706592,13.7825
563,-24.1514,0.707275,13.796
564,-23.2434,0.707631,13.8033
565,-22.3728,0.706575,13.7832
566,-21.5306,0.702773,13.7101
567,-20.7026,0.69474,13.5549
568,-19.8749,0.681254,13.294
569,-19.0451,0.661974,12.9204
570,-18.2261,0.637678,12.4486
571,-17.4366,0.609777,11.9054
572,-16.6905,0.579664,11.3176
573,-15.9946,0.548481,10.7069
574,-15.3523,0.517173,10.0919
575,-14.7667,0.486538,9.48799
576,-14.2398,0.457134,8.90641
577,-13.7714,0.429105,8.35009
578,-13.3577,0.402138,7.81295
579,-12.992,0.37561,7.2828
580,-12.6642,0.348892,6.74729
581,-12.3626,0.321672,6.20038
582,-12.0754,0.294039,5.64403
583,-11.7917,0.266252,5.08357
584,-11.5035,0.238473,4.52239
585,-11.2063,0.210733,3.96115
586,-10.8976,0.183036,3.40006
587,-10.5759,0.155392,2.83938
588,-10.2396,0.12774,2.27796
589,-9.88726,0.0999008,1.71225
590,-9.51871,0.0715846,1.13648
591,-9.13705,0.0424618,0.544074
592,-8.74973,0.0122447,-0.070693
593,-8.36804,-0.0192722,-0.711826
594,-8.00487,-0.0521925,-1.38124
595,-7.67233,-0.086484,-2.07804
596,-7.38052,-0.121954,-2.79807
597,-7.13651,-0.158286,-3.53456
598,-6.94347,-0.19514,-4.28036
599,-6.79995,-0.232303,-5.03079
600,-6.69844,-0.269782,-5.78568
601,-6.62536,-0.30773,-6.54785
602,-6.5654,-0.346146,-7.31711
603,-6.50835,-0.384532,-8.08348
