time,route1,route2,route3,route4,route5,route6,route7,route8,route9
39,-11.7216201385849,-11.2394735775726,-10.1387902175111,-11.2928901863989,-12.1401264269153,-11.2227794622367,-12.9761141270071,-11.7664861435882,-12.121273331499
40,-11.7075823698541,-11.2069691022096,-10.1023663650602,-11.2522555084917,-12.1121893427939,-11.1957287398832,-12.9491123893612,-11.7304371507979,-12.1013812829465
41,-11.6931561876771,-11.1742014196867,-10.0658212645471,-11.2115373421819,-12.0838865449928,-11.1684344360073,-12.9218531652048,-11.694165699493,-12.0810385551321
42,-11.6783456009208,-11.1411762428079,-10.0291591494142,-11.1707394614044,-12.0552181559519,-11.1408999364539,-12.8943413479525,-11.6576762711698,-12.0602489532948
43,-11.6631546170205,-11.1078992555509,-9.99238422851871,-11.1298656059499,-12.026184448325,-11.1131286130935,-12.8665817799166,-11.6209733228462,-12.0390162925546
44,-11.6475872413269,-11.074376112068,-9.95550068511631,-11.0889194808058,-11.9967858453607,-11.0851238232841,-12.8385792520311,-11.5840612865585,-12.0173443973778
45,-11.63164747646,-11.0406124357015,-9.9185126758546,-11.0479047555075,-11.967022921181,-11.0568889093393,-12.8103385035881,-11.5469445688664,-11.9952371010435
46,-11.6153393216666,-11.0066138180117,-9.88142432977756,-11.0068250635007,-11.9368964009544,-11.0284271980056,-12.7818642219855,-11.5096275503657,-11.9726982451142
47,-11.598666772183,-10.9723858178185,-9.84423974734033,-10.9656840015158,-11.9064071609661,-10.9997419999459,-12.7531610424876,-11.4721145852084,-11.9497316789078
48,-11.5816338186034,-10.9379339602567,-9.80696299943536,-10.9244851289531,-11.8755562285837,-10.970836609231,-12.724233547996,-11.4344100006315,-11.9263412589738
49,-11.5642444462532,-10.9032637358449,-9.76959812642973,-10.8832319672796,-11.8443447821187,-10.9417143028397,-12.6950862688345,-11.3965180964934,-11.9025308485713
50,-11.5465026345676,-10.868380599569,-9.73214913721419,-10.8419279994381,-11.8127741505843,-10.9123783401655,-12.6657236825436,-11.3584431448186,-11.8783043171507
51,-11.5284123564761,-10.8332899699789,-9.6946200082641,-10.8005766692679,-11.7808458133491,-10.8828319625324,-12.6361502136888,-11.3201893893501,-11.8536655398387
52,-11.509977577792,-10.7979972283006,-9.65701468271255,-10.7591813809378,-11.7485613996871,-10.8530783927183,-12.6063702336794,-11.2817610451105,-11.8286183969254
53,-11.4912022566084,-10.7625077175621,-9.61933706943601,-10.717745498391,-11.7159226882243,-10.8231208344868,-12.5763880605992,-11.2431622979711,-11.8031667733562
54,-11.4720903426993,-10.7268267417341,-9.58159104215266,-10.6762723448034,-11.6829316062832,-10.7929624721266,-12.5462079590498,-11.204397304229,-11.7773145582259
55,-11.452645776927,-10.6909595648861,-9.54378043853381,-10.6347652020533,-11.6495902291234,-10.7626064700005,-12.5158341400045,-11.1654701901933,-11.7510656442764
56,-11.4328724906551,-10.6549114103561,-9.50590905932848,-10.5932273102045,-11.6159007790814,-10.7320559721017,-12.4852707606746,-11.1263850517785,-11.7244239273984
57,-11.4127744051687,-10.6186874599374,-9.46798066750166,-10.5516618670021,-11.581865624608,-10.7013141016195,-12.4545219243868,-11.0871459541075,-11.6973933061362
58,-11.3923554310993,-10.5822928530789,-9.4299989873862,-10.5100720273818,-11.5474872792061,-10.6703839605126,-12.4235916804728,-11.0477569311221,-11.6699776811961
59,-11.3716194678571,-10.5457326861017,-9.39196770384889,-10.4684609029909,-11.5127684002677,-10.6392686290923,-12.3924840241696,-11.008221985203,-11.6421809549589
60,-11.3505704030695,-10.5090120114311,-9.35389046147071,-10.4268315617248,-11.4777117878116,-10.6079711656137,-12.3612028965321,-10.9685450867968,-11.6140070309959
61,-11.3292121120256,-10.4721358368444,-9.31577086374164,-10.3851870272743,-11.4423203831234,-10.5764946058759,-12.3297521843568,-10.9287301740535,-11.5854598135887
62,-11.3075484571281,-10.4351091247341,-9.27761247227027,-10.343530278689,-11.4065972672978,-10.5448419628308,-12.2981357201164,-10.8887811524708,-11.5565432072531
63,-11.2855832873512,-10.3979367913874,-9.23941880600832,-10.3018642499521,-11.3705456596846,-10.513016226202,-12.2663572819069,-10.8487018945481,-11.5272611162669
64,-11.2633204377058,-10.3606237062818,-9.2011933404905,-10.2601918295704,-11.3341689162394,-10.4810203621114,-12.2344205934051,-10.8084962394492,-11.4976174442015
