time,x_degree,y_degree,z_degree
1.86,-12.19618641,0,0
1.87,-12.26223688,0,0
1.88,-12.32719125,0,0
1.89,-12.39103584,0,0
1.9,-12.45375717,0,0
1.91,-12.515342,0,0
1.92,-12.57577732,0,0
1.93,-12.63505035,0,0
1.94,-12.69314854,0,0
1.95,-12.75005959,0,0
1.96,-12.80577142,0,0
1.97,-12.86027221,0,0
1.98,-12.91355039,0,0
1.99,-12.96559462,0,0
2,-13.01639382,0,0
2.01,-13.06593716,0,0
2.02,-13.11421406,0,0
2.03,-13.1612142,0,0
2.04,-13.20692752,0,0
2.05,-13.25134422,0,0
2.06,-13.29445475,0,0
2.07,-13.33624985,0,0
2.08,-13.3767205,0,0
2.09,-13.41585797,0,0
2.1,-13.45365378,0,0
2.11,-13.49009972,0,0
2.12,-13.52518789,0,0
2.13,-13.55891061,0,0
2.14,-13.59126052,0,0
2.15,-13.62223052,0,0
2.16,-13.65181378,0,0
2.17,-13.68000378,0,0
2.18,-13.70679424,0,0
2.19,-13.73217921,0,0
2.2,-13.75615299,0,0
2.21,-13.77871017,0,0
2.22,-13.79984564,0,0
2.23,-13.81955456,0,0
2.24,-13.83783241,0,0
2.25,-13.85467491,0,0
2.26,-13.87007812,0,0
2.27,-13.88403836,0,0
2.28,-13.89655226,0,0
2.29,-13.90761672,0,0
2.3,-13.91722896,0,0
2.31,-13.92538647,0,0
2.32,-13.93208705,0,0
2.33,-13.93732879,0,0
2.34,-13.94111007,0,0
2.35,-13.94342958,0,0
2.36,-13.94428629,0,0
2.37,-13.94367947,0,0
2.38,-13.94160869,0,0
2.39,-13.93807382,0,0
2.4,-13.93307501,0,0
2.41,-13.92661271,0,0
2.42,-13.91868769,0,0
2.43,-13.90930099,0,0
2.44,-13.89845395,0,0
2.45,-13.88614821,0,0
2.46,-13.87238571,0,0
2.47,-13.85716867,0,0
2.48,-13.84049961,0,0
2.49,-13.82238136,0,0
2.5,-13.80281702,0,0
2.51,-13.78181,0,0
2.52,-13.75936398,0,0
2.53,-13.73548296,0,0
2.54,-13.71017121,0,0
2.55,-13.68343328,0,0
2.56,-13.65527405,0,0
2.57,-13.62569864,0,0
2.58,-13.59471248,0,0
2.59,-13.56232129,0,0
2.6,-13.52853106,0,0
2.61,-13.49334807,0,0
2.62,-13.45677888,0,0
2.63,-13.41883033,0,0
2.64,-13.37950956,0,0
2.65,-13.33882394,0,0
2.66,-13.29678116,0,0
2.67,-13.25338916,0,0
2.68,-13.20865618,0,0
2.69,-13.16259069,0,0
2.7,-13.11520146,0,0
2.71,-13.06649753,0,0
2.72,-13.01648819,0,0
2.73,-12.96518299,0,0
2.74,-12.91259177,0,0
2.75,-12.8587246,0,0
2.76,-12.80359183,0,0
2.77,-12.74720405,0,0
2.78,-12.68957211,0,0
2.79,-12.63070712,0,0
2.8,-12.57062042,0,0
2.81,-12.50932362,0,0
2.82,-12.44682856,0,0
2.83,-12.38314733,0,0
2.84,-12.31829225,0,0
2.85,-12.25227588,0,0
2.86,-12.18511103,0,0
2.87,-12.11681073,0,0
2.88,-12.04738823,0,0
2.89,-11.97685703,0,0
2.9,-11.90523084,0,0
2.91,-11.83252359,0,0
2.92,-11.75874944,0,0
2.93,-11.68392275,0,0
2.94,-11.6080581,0,0
2.95,-11.53117029,0,0
2.96,-11.45327432,0,0
2.97,-11.37438539,0,0
2.98,-11.2945189,0,0
2.99,-11.21369045,0,0
3,-11.13191585,0,0
3.01,-11.04921107,0,0
3.02,-10.9655923,0,0
3.03,-10.8810759,0,0
3.04,-10.79567841,0,0
3.05,-10.70941655,0,0
3.06,-10.62230722,0,0
3.07,-10.53436748,0,0
3.08,-10.44561458,0,0
3.09,-10.35606592,0,0
3.1,-10.26573905,0,0
3.11,-10.17465169,0,0
3.12,-10.08282173,0,0
3.13,-9.990267179,0,0
3.14,-9.897006215,0,0
3.15,-9.803057151,0,0
3.16,-9.708438441,0,0
3.17,-9.613168674,0,0
3.18,-9.51726657,0,0
3.19,-9.420750981,0,0
3.2,-9.323640879,0,0
3.21,-9.225955359,0,0
3.22,-9.127713632,0,0
3.23,-9.028935022,0,0
3.24,-8.929638962,0,0
3.25,-8.829844989,0,0
3.26,-8.729572742,0,0
3.27,-8.628841957,0,0
3.28,-8.527672463,0,0
3.29,-8.426084177,0,0
3.3,-8.324097104,0,0
3.31,-8.221731326,0,0
3.32,-8.119007004,0,0
3.33,-8.015944373,0,0
3.34,-7.912563735,0,0
3.35,-7.808885458,0,0
3.36,-7.704929969,0,0
3.37,-7.600717753,0,0
3.38,-7.496269346,0,0
3.39,-7.391605334,0,0
3.4,-7.286746344,0,0
3.41,-7.181713047,0,0
3.42,-7.076526146,0,0
3.43,-6.971206378,0,0
3.44,-6.865774505,0,0
3.45,-6.760251314,0,0
3.46,-6.65465761,0,0
3.47,-6.549014213,0,0
3.48,-6.443341954,0,0
3.49,-6.337661669,0,0
3.5,-6.231994198,0,0
3.51,-6.126360377,0,0
3.52,-6.020781037,0,0
3.53,-5.915276997,0,0
3.54,-5.809869064,0,0
3.55,-5.704578023,0,0
3.56,-5.599424638,0,0
3.57,-5.494429644,0,0
3.58,-5.389613747,0,0
3.59,-5.284997614,0,0
3.6,-5.180601874,0,0
3.61,-5.076447113,0,0
3.62,-4.972553867,0,0
3.63,-4.868942621,0,0
3.64,-4.765633802,0,0
3.65,-4.662647777,0,0
3.66,-4.56000485,0,0
3.67,-4.457725254,0,0
3.68,-4.35582915,0,0
3.69,-4.254336622,0,0
3.7,-4.153267674,0,0
3.71,-4.052642221,0,0
3.72,-3.952480095,0,0
3.73,-3.852801031,0,0
3.74,-3.753624666,0,0
3.75,-3.654970539,0,0
3.76,-3.556858084,0,0
3.77,-3.459306622,0,0
3.78,-3.362335366,0,0
3.79,-3.26596341,0,0
3.8,-3.170209728,0,0
3.81,-3.075093168,0,0
3.82,-2.980632454,0,0
3.83,-2.886846172,0,0
3.84,-2.793752779,0,0
3.85,-2.701370586,0,0
3.86,-2.609717767,0,0
3.87,-2.518812344,0,0
3.88,-2.428672192,0,0
3.89,-2.339315031,0,0
3.9,-2.250758422,0,0
3.91,-2.163019768,0,0
3.92,-2.076116303,0,0
3.93,-1.990065096,0,0
3.94,-1.904883045,0,0
3.95,-1.820586869,0,0
3.96,-1.737193113,0,0
3.97,-1.654718138,0,0
3.98,-1.573178119,0,0
3.99,-1.492589046,0,0
4,-1.412966715,0,0
4.01,-1.334326727,0,0
4.02,-1.256684486,0,0
4.03,-1.180055195,0,0
4.04,-1.104453854,0,0
4.05,-1.029895253,0,0
4.06,-0.956393975,0,0
4.07,-0.883964387,0,0
4.08,-0.812620643,0,0
4.09,-0.742376678,0,0
4.1,-0.673246202,0,0
4.11,-0.605242704,0,0
4.12,-0.538379446,0,0
4.13,-0.472669457,0,0
4.14,-0.408125537,0,0
4.15,-0.344760251,0,0
4.16,-0.282585923,0,0
4.17,-0.22161464,0,0
4.18,-0.161858246,0,0
4.19,-0.103328341,0,0
4.2,-0.046036275,0,0
4.21,0.010006849,0,0
4.22,0.06479018,0,0
4.23,0.118303121,0,0
4.24,0.170535332,0,0
4.25,0.221476731,0,0
4.26,0.271117495,0,0
4.27,0.319448063,0,0
4.28,0.36645914,0,0
4.29,0.412141695,0,0
4.3,0.456486967,0,0
4.31,0.499486462,0,0
4.32,0.541131958,0,0
4.33,0.581415507,0,0
4.34,0.620329435,0,0
4.35,0.657866345,0,0
4.36,0.694019114,0,0
4.37,0.728780903,0,0
4.38,0.762145149,0,0
4.39,0.794105574,0,0
4.4,0.824656182,0,0
4.41,0.853791259,0,0
4.42,0.88150538,0,0
4.43,0.907793404,0,0
4.44,0.932650478,0,0
4.45,0.956072038,0,0
4.46,0.978053808,0,0
4.47,0.998591805,0,0
4.48,1.017682335,0,0
4.49,1.035321994,0,0
4.5,1.051507675,0,0
4.51,1.066236561,0,0
4.52,1.079506129,0,0
4.53,1.091314151,0,0
4.54,1.101658693,0,0
4.55,1.110538117,0,0
4.56,1.117951079,0,0
4.57,1.123896531,0,0
4.58,1.128373722,0,0
4.59,1.131382195,0,0
4.6,1.132921792,0,0
4.61,1.132992648,0,0
