Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
652,-19.86824324,-22.34503123,-23.80041141,-21.06545526,-25.74418889,-24.29804745,-22.54186967,-25.8767982,-18.76391922
653,-19.88789369,-22.29183804,-23.74720621,-21.02621602,-25.68048519,-24.24990651,-22.48786947,-25.77031832,-18.72276226
654,-19.90754414,-22.23864484,-23.694001,-20.98697678,-25.61678148,-24.20176557,-22.43386927,-25.66383844,-18.68441972
655,-19.92734655,-22.18545165,-23.6410961,-20.94773754,-25.55307778,-24.15362462,-22.37986907,-25.55823544,-18.64607718
656,-19.94728989,-22.13435656,-23.59064364,-20.91138318,-25.48937407,-24.10803163,-22.3296997,-25.45492693,-18.60773463
657,-19.96723323,-22.08436657,-23.54019119,-20.87654835,-25.42735536,-24.06312573,-22.28056336,-25.35161842,-18.57179309
658,-19.98717658,-22.03437658,-23.48973874,-20.84171351,-25.36565315,-24.01821982,-22.23142703,-25.24830991,-18.53798378
659,-20.00842042,-21.98438659,-23.43928629,-20.80687868,-25.30395095,-23.97331391,-22.18229069,-25.1450014,-18.50417447
660,-20.03006787,-21.9343966,-23.39042292,-20.77204384,-25.24224875,-23.92913914,-22.13551391,-25.0459019,-18.47036517
661,-20.05171532,-21.88693033,-23.34276727,-20.74048589,-25.18102162,-23.88622402,-22.0928024,-24.94884925,-18.43876306
662,-20.07338699,-21.84076416,-23.29511161,-20.71061602,-25.12175135,-23.84330891,-22.05009089,-24.8517966,-18.40875255
663,-20.09825626,-21.794598,-23.24745596,-20.68074615,-25.06248108,-23.80039379,-22.00737938,-24.75474394,-18.37874204
664,-20.12312553,-21.74843183,-23.19988559,-20.65087628,-25.00321081,-23.75747868,-21.96466787,-24.65828138,-18.34873153
665,-20.14799479,-21.70226567,-23.15535706,-20.62100641,-24.94394054,-23.71572032,-21.92945385,-24.56976537,-18.32073904
666,-20.1739975,-21.65910831,-23.11082853,-20.59486426,-24.88605225,-23.67402683,-21.89466026,-24.48124935,-18.29391952
667,-20.20336667,-21.61746667,-23.0663,-20.5706,-24.8293,-23.63233333,-21.85986667,-24.39273333,-18.2671
668,-20.23273584,-21.57582503,-23.02177147,-20.54633574,-24.77254775,-23.59063984,-21.82507307,-24.30421732,-18.24028048
669,-20.26210501,-21.53418338,-22.97912803,-20.52207147,-24.7157955,-23.54942282,-21.79513954,-24.22013964,-18.21559099
670,-20.2941036,-21.49254174,-22.93847538,-20.49780721,-24.65904324,-23.50863423,-21.76957598,-24.14115946,-18.19188649
