Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
979,-8.38642462,-8.18926126,-8.48201291,-8.13186336,-8.35216006,-8.57422583,-8.31818799,-8.40862102,-8.3244045
980,-8.3910044,-8.19586787,-8.48958849,-8.13836987,-8.35756196,-8.58151031,-8.32180761,-8.41348669,-8.33291381
981,-8.39558418,-8.20261181,-8.49716406,-8.14424855,-8.36296386,-8.58879479,-8.32542723,-8.41835235,-8.34153604
982,-8.40030901,-8.20935856,-8.50468919,-8.15011441,-8.36829009,-8.59607928,-8.32904685,-8.4230018,-8.3501973
983,-8.40507518,-8.21610531,-8.51195646,-8.15598028,-8.37356286,-8.60333293,-8.33262022,-8.42734615,-8.35885856
984,-8.40984134,-8.22285205,-8.51922372,-8.16184615,-8.37883564,-8.61057217,-8.33617197,-8.43169049,-8.36751982
985,-8.41461111,-8.2295988,-8.52649099,-8.16771201,-8.38410841,-8.61781141,-8.33972372,-8.43603483,-8.37616096
986,-8.41953704,-8.23648358,-8.53375826,-8.17288769,-8.38938118,-8.62505065,-8.34327548,-8.44037918,-8.3847969
987,-8.42446296,-8.24337047,-8.54084725,-8.17805285,-8.39473483,-8.63224855,-8.34681542,-8.44435355,-8.39343283
988,-8.42938889,-8.25025736,-8.54782823,-8.18321802,-8.40009369,-8.63932943,-8.35032192,-8.44824174,-8.40206877
989,-8.43436456,-8.25714424,-8.55480921,-8.18838318,-8.40545255,-8.64641031,-8.35382843,-8.45212993,-8.41053333
990,-8.43947688,-8.26403113,-8.56179019,-8.19354835,-8.41081141,-8.65349119,-8.35733493,-8.45601812,-8.41896667
991,-8.44458919,-8.27107658,-8.56874775,-8.19801982,-8.41625856,-8.66057207,-8.36084144,-8.45982072,-8.4274
992,-8.4497015,-8.27812362,-8.57544244,-8.20248428,-8.42191872,-8.66744374,-8.36444304,-8.4632962,-8.43583333
993,-8.45490911,-8.28517067,-8.58213714,-8.20694875,-8.42757888,-8.67427578,-8.36806266,-8.46677167,-8.44403944
994,-8.46020781,-8.29221772,-8.58883183,-8.21141321,-8.43323904,-8.68110781,-8.37168228,-8.47024715,-8.45221952
995,-8.46550651,-8.29926476,-8.59552653,-8.21587768,-8.4388992,-8.68793984,-8.3753019,-8.47372262,-8.4603996
996,-8.47080521,-8.30643133,-8.60209019,-8.21978438,-8.44471241,-8.69462923,-8.37903564,-8.4770014,-8.46857968
997,-8.47628498,-8.3135985,-8.60854264,-8.22368829,-8.45060931,-8.70112192,-8.38292673,-8.48015105,-8.47666366
998,-8.48182332,-8.32076567,-8.6149951,-8.22759219,-8.45650621,-8.70761461,-8.38681782,-8.4833007,-8.48474244
999,-8.48736166,-8.32793283,-8.62144755,-8.2314961,-8.4624031,-8.71410731,-8.39070891,-8.48645035,-8.49282122
1000,-8.4929,-8.3351,-8.6279,-8.2354,-8.4683,-8.7206,-8.3946,-8.4896,-8.5009
