time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,,,,,,,,,
39,-1.640397297,-1.803893794,-2.007574675,-1.567591291,-1.650906707,-1.768988288,-1.894606306,-1.661525125,-1.724841341,-1.959814314,,,,,,,,,,
40,-1.642161261,-1.742635736,-1.952834535,-1.582993694,-1.641435135,-1.787543243,-1.905445946,-1.694102102,-1.720034535,-1.95898048,,,,,,,,,,
41,-1.644347447,-1.775259059,-1.898094394,-1.598396096,-1.595502703,-1.806098198,-1.91271952,-1.726679079,-1.715227728,-1.958146647,,,,,,,,,,
42,-1.646533634,-1.810135536,-1.843354254,-1.613798498,-1.54957027,-1.824653153,-1.919907508,-1.759256056,-1.706833534,-1.957312813,,,,,,,,,,
43,-1.65E+00,-1.845012012,-1.788614114,-1.629200901,-1.503637838,-1.843208108,-1.927095495,-1.791833033,-1.686046547,-1.956923423,,,,,,,,,,
44,-1.650906006,-1.879888488,-1.733873974,-1.644603303,-1.457705405,-1.861763063,-1.934283483,-1.796479279,-1.66525956,-1.973719219,,,,,,,,,,
45,-1.653092192,-1.914764965,-1.679133834,-1.648066266,-1.411772973,-1.880757357,-1.941471471,-1.787336937,-1.644472573,-1.990515015,,,,,,,,,,
46,-1.655278378,-1.949641441,-1.624393694,-1.642345045,-1.365840541,-1.901697297,-1.948659459,-1.778194595,-1.623685586,-2.007310811,,,,,,,,,,
47,-1.657464565,-1.984517918,-1.569653554,-1.636623824,-1.319908108,-1.922637237,-1.955847447,-1.769052252,-1.602898599,-2.024106607,,,,,,,,,,
48,-1.659650751,-2.008114715,-1.514913413,-1.630902603,-1.273975676,-1.943577177,-1.955873874,-1.75990991,-1.582111612,-2.040902402,,,,,,,,,,
49,-1.671751351,-1.977363964,-1.530737838,-1.625181381,-1.228043243,-1.964517117,-1.921394595,-1.750767568,-1.561324625,-2.057698198,,,,,,,,,,
50,-1.697071171,-1.946613213,-1.556426126,-1.61946016,-1.237738839,-1.985457057,-1.886915315,-1.741625225,-1.540537638,-2.074493994,,,,,,,,,,
51,-1.722390991,-1.915862462,-1.582114414,-1.613738939,-1.301992693,-2.006396997,-1.852436036,-1.732482883,-1.519750651,-2.09128979,,,,,,,,,,
52,-1.747710811,-1.885111712,-1.607802703,-1.608017718,-1.366246547,-2.027336937,-1.817956757,-1.723842643,-1.501278378,-2.089512012,,,,,,,,,,
53,-1.773030631,-1.854360961,-1.633490991,-1.602296496,-1.4305004,-2.048276877,-1.783477477,-1.717168969,-1.556105405,-2.076837738,,,,,,,,,,
54,-1.79835045,-1.82361021,-1.659179279,-1.603682683,-1.494754254,-2.05018979,-1.748998198,-1.710495295,-1.610932432,-2.064163463,,,,,,,,,,
55,-1.82367027,-1.792859459,-1.684867568,-1.606054054,-1.559008108,-2.025940541,-1.714518919,-1.703821622,-1.665759459,-2.051489189,,,,,,,,,,
56,-1.84899009,-1.784089089,-1.710555856,-1.608425425,-1.623261962,-2.001691291,-1.686710911,-1.697147948,-1.720586486,-2.038814915,,,,,,,,,,
57,-1.87430991,-1.8131998,-1.736244144,-1.610796797,-1.687515816,-1.977442042,-1.6704002,-1.690474274,-1.775413514,-2.026140641,,,,,,,,,,
58,-1.89962973,-1.842310511,-1.741660961,-1.613168168,-1.75176967,-1.953192793,-1.654089489,-1.683800601,-1.830240541,-2.013466366,,,,,,,,,,
59,-1.894333333,-1.871421221,-1.722583083,-1.61553954,-1.816023524,-1.928943544,-1.637778779,-1.677126927,-1.885067568,-2.000792092,,,,,,,,,,
60,-1.886166667,-1.900531932,-1.703505205,-1.617910911,-1.828491692,-1.904694294,-1.621468068,-1.670453253,-1.939894595,-1.986141842,,,,,,,,,,
61,-1.878,-1.929642643,-1.684427327,-1.620282282,-1.828481381,-1.880445045,-1.605157357,-1.681641141,-1.994721622,-1.96506967,,,,,,,,,,
