time,torque_data,sigup,sigdown
12.8,0.792440464,1.347419493,0.237460401
12.9,0.79085507,1.345694476,0.236014598
13,0.789330749,1.344028514,0.234631888
13.1,0.787866148,1.342420655,0.233310521
13.2,0.786460969,1.340870866,0.232049935
13.3,0.785114715,1.33937936,0.230848917
13.4,0.783821187,1.3379403,0.229700908
13.5,0.782577469,1.336551183,0.228602581
13.6,0.781382056,1.335210836,0.227552094
13.7,0.780231308,1.333916281,0.226545154
13.8,0.779119297,1.332661798,0.22557562
13.9,0.77804222,1.331443901,0.224639372
14,0.77699759,1.330260438,0.223733575
14.1,0.775980317,1.32910671,0.222852771
14.2,0.774985434,1.327977796,0.221991937
14.3,0.774009111,1.326870018,0.221147089
14.4,0.773048304,1.325780595,0.220314902
14.5,0.772098301,1.324704836,0.219490676
14.6,0.771155427,1.323638977,0.21867081
14.7,0.770216503,1.322579806,0.217852155
14.8,0.769278347,1.321524277,0.217031377
14.9,0.768337896,1.32046901,0.216205763
15,0.767392707,1.319411375,0.215373038
15.1,0.76644051,1.318348947,0.214531078
15.2,0.76547845,1.31727873,0.213677187
15.3,0.764505412,1.316199185,0.212810667
15.4,0.763519949,1.315108578,0.211930356
15.5,0.762520522,1.314005112,0.211034966
15.6,0.761505286,1.312886524,0.210123084
15.7,0.760474386,1.311752559,0.209195243
15.8,0.759427217,1.310602237,0.208251217
15.9,0.75836276,1.309434163,0.207290366
16,0.757280373,1.308247107,0.20631263
16.1,0.756180863,1.307041522,0.205319171
16.2,0.755064265,1.305817002,0.204310464
16.3,0.75392994,1.304572378,0.203286415
16.4,0.752778344,1.303307476,0.202248081
16.5,0.751610565,1.302023059,0.20119689
16.6,0.750427106,1.300719147,0.200133826
16.7,0.749227689,1.299394728,0.199059372
16.8,0.748013633,1.298050592,0.197975325
16.9,0.746786135,1.296687609,0.196883233
17,0.745546072,1.29530615,0.195784476
17.1,0.74429363,1.293905423,0.194680264
17.2,0.743030711,1.29248706,0.193572685
17.3,0.741758608,1.291051995,0.192463429
17.4,0.740478538,1.289600965,0.191354214
17.5,0.739191393,1.288133607,0.190247189
17.6,0.737899295,1.286652224,0.189144234
17.7,0.736603735,1.285157911,0.188047277
17.8,0.735306288,1.283651718,0.186958483
17.9,0.734008824,1.282134417,0.18588069
18,0.732713251,1.280608348,0.184815434
18.1,0.7314214,1.279075063,0.183764831
18.2,0.730135396,1.277536145,0.182731626
18.3,0.728857743,1.275993517,0.181718746
18.4,0.72759015,1.27444949,0.18072738
18.5,0.726334702,1.272906134,0.179759626
18.6,0.725094222,1.271365842,0.178818822
18.7,0.723871255,1.269831334,0.177907173
18.8,0.722667284,1.268304882,0.177025459
18.9,0.721484432,1.266788977,0.176175437
19,0.720326214,1.265287015,0.175360816
19.1,0.719194398,1.263830513,0.174565467
19.2,0.718090153,1.262397696,0.173801204
19.3,0.717015293,1.260967951,0.173081551
19.4,0.7159738,1.259565227,0.172401374
19.5,0.714965795,1.258190283,0.171760503
19.6,0.713992011,1.256845464,0.171157863
19.7,0.713053577,1.25553344,0.17059339
19.8,0.7121545,1.254258974,0.170069263
19.9,0.711292673,1.253021527,0.169582918
20,0.710468318,1.251822881,0.169132617
20.1,0.709681944,1.250665617,0.168717125
20.2,0.708936101,1.249552963,0.168337501
20.3,0.708227447,1.248483412,0.167989257
20.4,0.707555409,1.247457817,0.16767019
20.5,0.706919994,1.246478483,0.167378319
20.6,0.706321571,1.245546464,0.167112777
20.7,0.705756605,1.24465962,0.16686889
20.8,0.705223769,1.243817882,0.166644083
20.9,0.704722665,1.243023234,0.166436019
21,0.704251958,1.24227459,0.166242281
21.1,0.703808436,1.241569668,0.166059137
21.2,0.703390444,1.240907754,0.165883993
21.3,0.702997404,1.240290666,0.165714422
21.4,0.702627137,1.239715734,0.165547691
21.5,0.70227714,1.239181024,0.165381249
21.6,0.701945883,1.238685608,0.16521297
21.7,0.701632914,1.238231443,0.165040582
21.8,0.701336057,1.237815009,0.164862098
