time,force_data,sigup,sigdown
12.8,0.713934009,0.833254622,0.594613395
12.9,0.711141793,0.829652291,0.592631296
13,0.708342962,0.826029767,0.590656157
13.1,0.705538221,0.822389166,0.588687276
13.2,0.702728213,0.818732482,0.586723944
13.3,0.699913524,0.815061591,0.584765456
13.4,0.69709468,0.811378253,0.582811107
13.5,0.694272157,0.807684119,0.580860195
13.6,0.691446379,0.803980732,0.578912025
13.7,0.688617723,0.800269539,0.576965906
13.8,0.685786522,0.79655189,0.575021155
13.9,0.682953069,0.792829047,0.573077091
14,0.680117615,0.78910219,0.571133041
14.1,0.677280378,0.785372423,0.569188333
14.2,0.674441538,0.781640778,0.567242299
14.3,0.671601246,0.777908222,0.565294271
14.4,0.668759621,0.774175664,0.563343579
14.5,0.665916754,0.77044396,0.561389548
14.6,0.663072708,0.766713919,0.559431497
14.7,0.660227518,0.762986306,0.557468731
14.8,0.657381197,0.759261852,0.555500542
14.9,0.65453373,0.755541258,0.553526202
15,0.65168508,0.751825199,0.551544961
15.1,0.648835184,0.748114332,0.549556036
15.2,0.645983958,0.744409301,0.547558614
15.3,0.643131291,0.740710742,0.545551839
15.4,0.64027705,0.737019291,0.543534809
15.5,0.637421078,0.73333559,0.541506567
15.6,0.634563195,0.729660291,0.539466099
15.7,0.631703193,0.725994067,0.537412319
15.8,0.628840843,0.722337616,0.53534407
15.9,0.625975888,0.718691669,0.533260108
16,0.623108048,0.715056998,0.531159099
16.1,0.620237017,0.711434425,0.52903961
16.2,0.617362464,0.707824829,0.526900099
16.3,0.614484032,0.704229153,0.524738912
16.4,0.611601342,0.700648417,0.522554268
16.5,0.608713991,0.697083722,0.520344261
16.6,0.605821555,0.693536262,0.518106847
16.7,0.602923588,0.69000733,0.515839845
16.8,0.600019629,0.686498328,0.51354093
16.9,0.597109201,0.683010771,0.511207632
17,0.594191819,0.679546299,0.508837339
17.1,0.591266988,0.676106677,0.5064273
17.2,0.588334216,0.672693802,0.50397463
17.3,0.585393012,0.669309704,0.50147632
17.4,0.5824429,0.665956547,0.498929253
17.5,0.579483423,0.662636625,0.496330221
17.6,0.576514154,0.659352361,0.493675948
17.7,0.573534704,0.656106294,0.490963114
17.8,0.570544734,0.652901073,0.488188395
17.9,0.567543967,0.64973944,0.485348493
18,0.5645322,0.646624215,0.482440184
18.1,0.561509318,0.643558275,0.47946036
18.2,0.558475309,0.640544532,0.476406086
18.3,0.555430277,0.637585908,0.473274646
18.4,0.552374459,0.634685308,0.470063609
18.5,0.549308237,0.631846331,0.466770143
18.6,0.546232159,0.629153997,0.463310321
18.7,0.543146946,0.626529801,0.459764091
18.8,0.54005351,0.623975952,0.456131069
18.9,0.536952969,0.621494451,0.452411486
19,0.53384665,0.619087063,0.448606237
19.1,0.530736107,0.616755301,0.444716913
19.2,0.52762312,0.614500407,0.440745833
19.3,0.524509704,0.612323345,0.436696063
19.4,0.521398105,0.610224789,0.432571421
19.5,0.5182908,0.608205123,0.428376477
19.6,0.515190487,0.606264439,0.424116535
19.7,0.512100076,0.604402539,0.419797613
19.8,0.50902267,0.602618937,0.415426404
