forceX,forceY,forceZ,torqueX,torqueY,torqueZ	
-73.9348449707031,-282.623992919922,-75.6969223022461,1.5143141746521,-0.24006587266922,-1.25930774211884,	
-74.0198287963867,-282.495147705078,-76.7237777709961,1.4788818359375,-0.245552495121956,-1.28162896633148,	
-74.1136322021484,-282.462432861328,-77.0711059570313,1.47861623764038,-0.237949013710022,-1.29545593261719,	
-74.0890502929688,-282.190734863281,-77.1200485229492,1.47907567024231,-0.212607979774475,-1.28417432308197,	
-74.3877105712891,-282.972839355469,-76.929069519043,1.4930979013443,-0.228984758257866,-1.27592980861664,	
-74.3024749755859,-282.857421875,-76.7314758300781,1.5219908952713,-0.244465321302414,-1.23107171058655,	
-74.2920379638672,-283.462768554688,-76.9209594726563,1.55062162876129,-0.252062350511551,-1.18346059322357,	
-73.8401718139648,-283.726623535156,-76.7239685058594,1.57855725288391,-0.294169992208481,-1.21436178684235,	
-74.236328125,-284.246398925781,-76.0515289306641,1.63585472106934,-0.267769128084183,-1.17745852470398,	
-74.3717880249023,-284.515380859375,-76.2675933837891,1.65774929523468,-0.262882709503174,-1.13818275928497,	
-74.503059387207,-284.600189208984,-75.8215713500977,1.73636412620544,-0.282666057348251,-1.11567842960358,	
-74.7042999267578,-285.009765625,-74.6083984375,1.73563575744629,-0.305793225765228,-1.05691409111023,	
-74.7870864868164,-285.674255371094,-74.9886474609375,1.77893269062042,-0.272330641746521,-1.04250979423523,	
-75.0609664916992,-285.225769042969,-76.0399780273438,1.80799698829651,-0.289452791213989,-1.03141784667969,	
-75.0486297607422,-285.402160644531,-75.6222229003906,1.83624887466431,-0.322164833545685,-1.01743566989899,	
-76.0026779174805,-285.286499023438,-76.2074203491211,1.83659040927887,-0.297296762466431,-0.997603952884674,	
-75.614616394043,-285.588806152344,-76.5029525756836,1.9084552526474,-0.305033504962921,-0.975166738033295,	
-75.6008453369141,-285.588623046875,-75.6177520751953,1.89377045631409,-0.321028143167496,-0.969594180583954,	
-75.5875930786133,-285.85205078125,-75.843879699707,1.93754589557648,-0.27914971113205,-0.972240269184113,	
-75.5035552978516,-285.543823242188,-75.8310089111328,1.93719530105591,-0.304021328687668,-0.958262622356415,	
-75.6408004760742,-286.241577148438,-76.2495422363281,1.98045289516449,-0.295400887727737,-0.93550717830658,	
-76.2203063964844,-286.078857421875,-76.0156631469727,1.99433934688568,-0.31154865026474,-0.910455942153931,	
-75.9902496337891,-286.218811035156,-76.2218933105469,2.01616811752319,-0.28190878033638,-0.882311224937439,	
-75.8417282104492,-286.738342285156,-74.5874862670898,2.02923226356506,-0.338950574398041,-0.874118626117706,	
-76.2754211425781,-286.653778076172,-74.597038269043,2.05101227760315,-0.326117217540741,-0.865678727626801,	
-75.7430572509766,-286.525146484375,-74.6289215087891,2.07977294921875,-0.325575053691864,-0.843288600444794,	
-75.8080749511719,-286.561370849609,-75.8194427490234,2.09449481964111,-0.327155351638794,-0.882387578487396,	
-75.7268371582031,-286.956665039063,-75.651969909668,2.1306836605072,-0.330118477344513,-0.8404501080513,	
-76.1685638427734,-286.87158203125,-74.5936965942383,2.12308740615845,-0.300236344337463,-0.840089976787567,	
-76.3000946044922,-286.870422363281,-75.0326385498047,2.12337827682495,-0.31676983833313,-0.817814409732819,	
-76.4638366699219,-286.710479736328,-74.4091491699219,2.1441969871521,-0.328623116016388,-0.803763866424561,	
-76.1511077880859,-286.961242675781,-74.7996215820313,2.15196132659912,-0.307737410068512,-0.792539954185486,	
-76.0619812011719,-287.188293457031,-74.6309204101563,2.19470643997192,-0.323818981647491,-0.77570253610611,	
-76.5125427246094,-286.751770019531,-74.8420639038086,2.20210695266724,-0.344552576541901,-0.767536103725433,	
