forceX,forceY,forceZ,torqueX,torqueY,torqueZ	
-71.2284469604492,-275.770446777344,-48.9318618774414,3.99411797523499,-0.568836092948914,0.21180747449398,	
-70.8591918945313,-275.802490234375,-47.2803192138672,3.97230553627014,-0.538374841213226,0.214508935809135,	
-70.7950668334961,-276.376586914063,-47.2828598022461,3.98664689064026,-0.538066446781158,0.228705570101738,	
-71.1621780395508,-276.066131591797,-47.7014083862305,3.96492314338684,-0.542884409427643,0.223293289542198,	
-70.7754745483398,-276.025573730469,-47.7794647216797,4.00153255462646,-0.513293743133545,0.234465286135674,	
-71.1459579467773,-275.539886474609,-48.986442565918,3.98693537712097,-0.556253552436829,0.22022657096386,	
-71.0032501220703,-276.241760253906,-47.4095840454102,3.97196555137634,-0.546732425689697,0.231550738215446,	
-71.0980072021484,-276.384521484375,-48.1080703735352,3.97246909141541,-0.547242343425751,0.223175033926964,	
-71.0075378417969,-276.247955322266,-47.6627883911133,3.97243046760559,-0.529813170433044,0.24840347468853,	
-71.076904296875,-276.550506591797,-49.015998840332,3.96552395820618,-0.552155911922455,0.231537207961082,	
-70.4669036865234,-276.104431152344,-48.052864074707,3.96493887901306,-0.534940719604492,0.22320245206356,	
-70.7114562988281,-276.33447265625,-48.3621520996094,3.93662166595459,-0.518197655677795,0.2400893419981,	
-71.0232391357422,-276.342102050781,-48.1165390014648,3.93696403503418,-0.509551346302032,0.240069136023521,	
-71.1664886474609,-276.774719238281,-48.0774078369141,3.96515107154846,-0.534474790096283,0.245782002806664,	
-70.7130279541016,-276.416442871094,-48.3683471679688,3.95116829872131,-0.518044471740723,0.240208551287651,	
-71.1694030761719,-276.770080566406,-48.12158203125,3.93689823150635,-0.509244441986084,0.259817540645599,	
-70.9430923461914,-276.90283203125,-48.0124435424805,3.95834946632385,-0.521837115287781,0.248463198542595,	
-70.8522033691406,-276.510681152344,-47.6972885131836,3.95770239830017,-0.555087804794312,0.242897793650627,	
-70.6991348266602,-276.854095458984,-48.474967956543,3.95811295509338,-0.53918468952179,0.23458831012249,	
-71.028938293457,-276.692749023438,-47.1398391723633,3.92930126190186,-0.512989640235901,0.251460611820221,	
-70.7080535888672,-276.770629882813,-48.3042907714844,3.98720955848694,-0.529760003089905,0.270912408828735,	
-71.0043258666992,-276.599456787109,-47.8467330932617,3.97912287712097,-0.576249182224274,0.228775843977928,	
-70.4751892089844,-276.896026611328,-47.0088806152344,3.95786309242249,-0.52944415807724,0.245860442519188,	
-71.1543426513672,-276.944305419922,-48.2005767822266,3.9794933795929,-0.542960405349731,0.243081375956535,	
-70.8567199707031,-277.12890625,-48.449836730957,3.96555542945862,-0.501219272613525,0.257305681705475,	
-70.5458602905273,-276.856292724609,-49.3041839599609,3.95921921730042,-0.547210693359375,0.270877599716187,	
-70.8495788574219,-276.689086914063,-48.7717514038086,3.97323536872864,-0.530389070510864,0.262751042842865,	
-70.5543518066406,-277.037872314453,-47.8603820800781,3.9942409992218,-0.550061881542206,0.279161691665649,	
-70.7097702026367,-276.601287841797,-47.8562393188477,3.95144295692444,-0.500393152236938,0.271160066127777,	
-70.6993255615234,-276.856750488281,-47.1466751098633,3.95818781852722,-0.51272052526474,0.254428744316101,	
-70.7753295898438,-277.074035644531,-48.49658203125,3.96516251564026,-0.55120575428009,0.262605726718903,	
-70.928825378418,-277.340576171875,-48.4700775146484,3.94420194625854,-0.513597846031189,0.265657782554626,	
-71.2590179443359,-276.7333984375,-49.0774383544922,3.95886445045471,-0.539121687412262,0.25429755449295,	
-70.9424209594727,-277.165466308594,-47.4865875244141,3.9577419757843,-0.521315336227417,0.259957373142242,	
-70.9297866821289,-277.413879394531,-48.4347229003906,3.96491312980652,-0.576313257217407,0.259722411632538,	
-71.3908081054688,-277.420928955078,-46.8038177490234,3.9782235622406,-0.559295415878296,0.212328180670738,	
-71.6025238037109,-277.722442626953,-47.9877243041992,3.95670008659363,-0.572878301143646,0.220864042639732,	
-71.2403869628906,-278.372650146484,-47.7348022460938,3.96391844749451,-0.551972568035126,0.212706074118614,	
-71.5408020019531,-277.69189453125,-47.3378067016602,3.94992423057556,-0.534363865852356,0.24353252351284,	
-71.08740234375,-277.859375,-48.0009384155273,3.95085263252258,-0.509507536888123,0.249216362833977,	
-71.0195236206055,-277.650451660156,-47.5534133911133,3.92174100875854,-0.517994046211243,0.235107228159904,	
-70.7921447753906,-277.511474609375,-48.0820465087891,3.93661856651306,-0.509491086006165,0.251759588718414,	
-71.0892028808594,-277.517852783203,-48.4281997680664,3.93662738800049,-0.52650648355484,0.251785099506378,	
-71.0935745239258,-277.514099121094,-47.3768692016602,3.9503448009491,-0.533821225166321,0.265772044658661,	
-70.9948196411133,-278.501190185547,-47.2017593383789,3.96358418464661,-0.576215982437134,0.229314371943474,	
-71.1402587890625,-278.503875732422,-47.6136016845703,3.95697093009949,-0.580002427101135,0.262832701206207,	
-71.3771438598633,-278.470611572266,-47.534782409668,3.9642288684845,-0.567543566226959,0.257467985153198,	
-71.3760681152344,-277.95068359375,-47.9024810791016,3.97128510475159,-0.572425842285156,0.237836644053459,	
-70.7154083251953,-277.988708496094,-47.3221740722656,3.94319272041321,-0.521648168563843,0.249160811305046,	
-71.1728210449219,-278.081298828125,-46.97021484375,3.92849063873291,-0.529896855354309,0.243461534380913,	
-71.3935699462891,-278.385131835938,-48.004997253418,3.89311218261719,-0.534657835960388,0.263086378574371,	
-71.3498458862305,-278.27490234375,-46.0862579345703,3.8491644859314,-0.533992171287537,0.235212847590446,	
-71.2213287353516,-278.030029296875,-46.6044998168945,3.81405782699585,-0.488061666488647,0.260462999343872,	
-71.1585311889648,-277.72607421875,-45.9974060058594,3.80742406845093,-0.424720704555511,0.271887838840485,	
-70.6438446044922,-277.510620117188,-46.7288436889648,3.81494355201721,-0.446156978607178,0.268903076648712,	
-70.4026412963867,-277.28271484375,-46.3581161499023,3.8219108581543,-0.441616922616959,0.271698892116547,	
-70.035888671875,-277.767364501953,-46.5387802124023,3.82917857170105,-0.412752479314804,0.263505399227142,	
-70.3326568603516,-278.204895019531,-46.7180328369141,3.82181024551392,-0.45914962887764,0.243636533617973,	
-70.4690856933594,-278.277435302734,-46.62890625,3.82885265350342,-0.462945252656937,0.254954278469086,	
-70.5523223876953,-278.073150634766,-46.4754867553711,3.82896637916565,-0.437604546546936,0.274862289428711,	
-70.5518035888672,-278.244995117188,-46.3456039428711,3.8218080997467,-0.441513150930405,0.280267775058746,	
-70.8747406005859,-278.265014648438,-45.1274871826172,3.82152485847473,-0.440629988908768,0.271750509738922,	
-70.4169616699219,-278.166137695313,-46.0656204223633,3.81488919258118,-0.445605874061584,0.26903772354126,	
-70.7832946777344,-278.383544921875,-45.3781661987305,3.81465744972229,-0.436567187309265,0.272055923938751,	
-70.4126739501953,-278.164642333984,-44.2322769165039,3.79934525489807,-0.444587230682373,0.260605931282043,	
-70.7895660400391,-278.296691894531,-45.7559280395508,3.79285836219788,-0.466479271650314,0.260528922080994,	
-70.7652130126953,-278.552795410156,-45.0116500854492,3.83557820320129,-0.490219354629517,0.294026136398315,	
-71.0816802978516,-278.121520996094,-44.8612823486328,3.78512978553772,-0.469614863395691,0.291445136070251,	
-71.0849609375,-278.123168945313,-45.0692672729492,3.79920172691345,-0.45315608382225,0.294308006763458,	
-70.5503997802734,-278.169677734375,-44.4064407348633,3.82115340232849,-0.465023905038834,0.280239701271057,	
-70.7125625610352,-278.344970703125,-45.8871154785156,3.78614497184753,-0.436596751213074,0.30827271938324,	
-70.2656707763672,-277.827758789063,-44.7738647460938,3.77871489524841,-0.456397086381912,0.319371402263641,	
-70.4833221435547,-277.697296142578,-45.9759826660156,3.82287764549255,-0.423828572034836,0.294348239898682,	
-70.1010437011719,-278.174072265625,-45.7050399780273,3.80807948112488,-0.440343260765076,0.305405974388123,	
-70.3322906494141,-278.035400390625,-45.5386810302734,3.78665065765381,-0.468780934810638,0.338725209236145,	
-70.2497024536133,-277.825256347656,-45.3079376220703,3.7864785194397,-0.435373783111572,0.339102625846863,	
-69.7909774780273,-277.642669677734,-46.2463150024414,3.83746337890625,-0.456665515899658,0.322015285491943,	
-69.9572296142578,-277.741912841797,-45.7483825683594,3.79398226737976,-0.464854329824448,0.330311238765717,	
-69.8769912719727,-277.961578369141,-45.507438659668,3.80809831619263,-0.506100654602051,0.341224670410156,	
-69.8693237304688,-277.698303222656,-45.9943237304688,3.82995343208313,-0.485533952713013,0.335720062255859,	
-70.0295333862305,-277.352996826172,-45.7085418701172,3.82282900810242,-0.489471584558487,0.338567316532135,	
-69.8728637695313,-277.696655273438,-45.2147827148438,3.78673648834229,-0.501415729522705,0.352388381958008,	
-69.7248611450195,-277.877502441406,-45.9028472900391,3.82308459281921,-0.472729504108429,0.349862456321716,	
-69.5717544555664,-277.528930664063,-45.0928649902344,3.81573104858398,-0.476330697536469,0.344281435012817,	
-69.7825012207031,-277.401062011719,-45.2108840942383,3.80869030952454,-0.463456481695175,0.366658747196198,	
-69.3370513916016,-277.740203857422,-44.5243072509766,3.82308006286621,-0.462704956531525,0.37219762802124,	
-69.5652618408203,-277.356475830078,-45.0021286010742,3.80868697166443,-0.454854726791382,0.372208118438721,	
-69.0200271606445,-277.568725585938,-45.8220977783203,3.84467387199402,-0.500871360301971,0.388667941093445,	
-69.4662933349609,-277.560638427734,-45.5673522949219,3.85903906822205,-0.492606908082962,0.369422376155853,	
-69.2423629760742,-277.788360595703,-46.7725982666016,3.89557361602783,-0.480493694543839,0.388999283313751,	
-69.2907638549805,-277.651153564453,-45.5731887817383,3.88793206214905,-0.467330425977707,0.375111281871796,	
-69.2255172729492,-277.696166992188,-45.7726745605469,3.93098258972168,-0.500488877296448,0.380670249462128,	
-69.3461151123047,-278.113342285156,-45.3253173828125,3.93727827072144,-0.521695256233215,0.352669239044189,	
-69.2729797363281,-278.073760986328,-45.2604293823242,3.9662754535675,-0.496378213167191,0.358300030231476,	
-69.4204406738281,-277.997253417969,-46.5124359130859,3.98145461082458,-0.496827363967896,0.375328242778778,	
-69.559814453125,-278.242218017578,-45.9486465454102,4.0167384147644,-0.509030342102051,0.361237525939941,	
-69.50244140625,-277.781311035156,-45.2661895751953,4.02334499359131,-0.521417140960693,0.344285547733307,	
-69.5636215209961,-278.072021484375,-44.9115142822266,4.00170230865479,-0.517127513885498,0.338656723499298,	
-69.4707565307617,-277.768218994141,-46.1769485473633,4.0233678817749,-0.530532598495483,0.341606914997101,	
-69.4036483764648,-278.071716308594,-45.7085494995117,4.00920057296753,-0.48845499753952,0.347402691841125,	
-70.0741577148438,-278.196136474609,-45.6880950927734,4.03756380081177,-0.488633215427399,0.33625316619873,	
-69.4608154296875,-277.940155029297,-46.8475494384766,4.06707525253296,-0.505144119262695,0.372473180294037,	
-69.6906509399414,-277.894104003906,-45.9274368286133,4.05250024795532,-0.496602088212967,0.35017055273056,	
-69.3098754882813,-278.021789550781,-46.4305725097656,4.03105974197388,-0.500889182090759,0.36961418390274,	
-69.5982208251953,-277.757568359375,-46.1874542236328,4.07396650314331,-0.492312371730804,0.364133477210999,	
-69.2230377197266,-277.976776123047,-45.9375228881836,4.09537363052368,-0.521281540393829,0.358165979385376,	
-69.2426376342773,-278.327758789063,-45.56591796875,4.10206031799316,-0.51713240146637,0.344393193721771,	
-69.5157165527344,-278.406036376953,-46.3654022216797,4.09531688690186,-0.513595283031464,0.344450771808624,	
-69.2905044555664,-277.845825195313,-46.2851791381836,4.08158254623413,-0.463215082883835,0.361494839191437,	
