forceX,forceY,forceZ,torqueX,torqueY,torqueZ	
-72.6522369384766,-279.6044921875,-50.7580795288086,4.06106948852539,-0.520621180534363,-0.166758015751839,	
-72.438591003418,-279.480072021484,-51.0106430053711,4.09038305282593,-0.503732085227966,-0.163790240883827,	
-72.7358932495117,-279.824371337891,-50.809497833252,4.09714651107788,-0.507782995700836,-0.160977259278297,	
-72.8842468261719,-279.738098144531,-51.1605415344238,4.08316135406494,-0.524917960166931,-0.172207251191139,	
-72.7178802490234,-279.909759521484,-51.1935844421387,4.11159801483154,-0.524738073348999,-0.163834825158119,	
-72.4885101318359,-280.300140380859,-50.4644432067871,4.09723949432373,-0.490915268659592,-0.172185137867928,	
-72.4867248535156,-280.038452148438,-51.1803970336914,4.10504055023193,-0.511903941631317,-0.155317261815071,	
-72.4213790893555,-279.823303222656,-50.1581001281738,4.07591915130615,-0.494484513998032,-0.146880641579628,	
-72.2758865356445,-280.174591064453,-51.1469764709473,4.06904172897339,-0.499512672424316,-0.146919146180153,	
-72.5746078491211,-279.654479980469,-51.0078468322754,4.08354806900024,-0.491008698940277,-0.155266955494881,	
-72.3552398681641,-279.871673583984,-50.6187438964844,4.06835508346558,-0.524320960044861,-0.155501142144203,	
-72.505615234375,-280.311126708984,-50.7616844177246,4.06180953979492,-0.494937002658844,-0.141301229596138,	
-72.8702850341797,-280.259643554688,-51.1415672302246,4.08310174942017,-0.499647438526154,-0.152351632714272,	
-72.7237548828125,-279.831726074219,-50.2375259399414,4.06136846542358,-0.519408762454987,-0.135759606957436,	
-72.4309997558594,-280.006958007813,-51.4057998657227,4.06932544708252,-0.50776731967926,-0.138513341546059,	
-72.9514694213867,-280.400177001953,-50.1734085083008,4.06108713150024,-0.519852161407471,-0.155388608574867,	
-72.5088043212891,-280.132263183594,-51.5580024719238,4.0545711517334,-0.51679140329361,-0.15519006550312,	
-72.5917510986328,-280.274841308594,-50.3827095031738,4.04742813110352,-0.47790390253067,-0.135496631264687,	
-72.5180358886719,-280.320007324219,-51.4270095825195,4.01880884170532,-0.520429491996765,-0.12744964659214,	
-72.8083648681641,-279.962738037109,-51.4334335327148,4.05481815338135,-0.482985734939575,-0.141083553433418,	
-72.283561706543,-280.269958496094,-50.4746780395508,4.01868152618408,-0.477973252534866,-0.129956975579262,	
-72.13720703125,-279.928344726563,-50.8227653503418,4.04014348983765,-0.507436990737915,-0.132774904370308,	
-72.5951461791992,-280.363983154297,-49.2071952819824,4.03939914703369,-0.489763408899307,-0.143977358937263,	
-72.3680038452148,-280.147766113281,-50.5534477233887,4.03348255157471,-0.461222410202026,-0.127053454518318,	
-72.594970703125,-280.277740478516,-50.2050590515137,4.03294610977173,-0.469469249248505,-0.132569566369057,	
-72.6729736328125,-280.148742675781,-51.068733215332,4.01206874847412,-0.490646123886108,-0.118786163628101,	
-72.4488525390625,-280.105407714844,-49.6708908081055,4.01073694229126,-0.51523220539093,-0.132727041840553,	
-72.8263092041016,-280.672332763672,-50.2367134094238,3.98978781700134,-0.494359523057938,-0.113074906170368,	
-72.7581481933594,-280.721954345703,-50.2670211791992,4.04042053222656,-0.465106666088104,-0.118514306843281,	
-72.6025009155273,-280.629150390625,-50.7818489074707,3.99004912376404,-0.494965255260468,-0.121389515697956,	
-72.3652038574219,-280.759552001953,-51.4021377563477,4.01923513412476,-0.494963079690933,-0.107492513954639,	
-72.7493896484375,-280.111389160156,-50.8518829345703,4.01854753494263,-0.519819378852844,-0.118911452591419,	
-72.3705902099609,-280.587738037109,-50.5407638549805,3.99031901359558,-0.511076152324677,-0.107665844261646,	
-72.4658279418945,-280.549499511719,-50.4483833312988,3.99035286903381,-0.502175033092499,-0.0852632001042366,	
