forceX,forceY,forceZ,torqueX,torqueY,torqueZ	
-78.0755157470703,-272.981018066406,-15.2555160522461,0.401364952325821,0.683112502098083,-0.250745356082916,	
-78.5372924804688,-272.985504150391,-14.2472496032715,0.436931759119034,0.713712453842163,-0.222653225064278,	
-77.8536224365234,-273.19873046875,-14.9509239196777,0.372790813446045,0.691855251789093,-0.231316819787025,	
-78.6121978759766,-272.942810058594,-14.7500152587891,0.401329040527344,0.725220799446106,-0.242207899689674,	
-77.9240036010742,-273.063110351563,-14.5927619934082,0.386667311191559,0.708573460578918,-0.242277339100838,	
-78.6865692138672,-273.161987304688,-14.9681396484375,0.408622294664383,0.704409599304199,-0.236599400639534,	
-78.3715057373047,-273.068359375,-15.0257949829102,0.415847510099411,0.716989457607269,-0.233955457806587,	
-78.4702682495117,-273.116821289063,-14.779167175293,0.408615827560425,0.712727010250092,-0.24784828722477,	
-78.6002731323242,-272.939422607422,-15.2397003173828,0.408772230148315,0.720966815948486,-0.233757212758064,	
-78.3753051757813,-273.501403808594,-15.4704475402832,0.416141599416733,0.725192725658417,-0.225317612290382,	
-78.2316665649414,-273.241516113281,-13.2158508300781,0.436342388391495,0.697218120098114,-0.245155528187752,	
-78.3742141723633,-273.238403320313,-15.1733932495117,0.415536820888519,0.708121716976166,-0.247841313481331,	
-78.0904006958008,-273.074951171875,-14.4306869506836,0.43697327375412,0.696519494056702,-0.233920469880104,	
-78.6916580200195,-272.900024414063,-14.5685577392578,0.4512659907341,0.680022656917572,-0.239645734429359,	
-78.2302551269531,-273.332397460938,-13.3671493530273,0.429008692502975,0.6931032538414,-0.247865751385689,	
-78.7531433105469,-273.034362792969,-15.9519577026367,0.43048495054245,0.674535572528839,-0.239447608590126,	
-78.5207366943359,-273.156097412109,-14.6408081054688,0.444269478321075,0.700387239456177,-0.245002940297127,	
-78.5179901123047,-272.892578125,-14.7174682617188,0.430144309997559,0.725320041179657,-0.24763722717762,	
-78.2361373901367,-272.808654785156,-14.5795783996582,0.415589421987534,0.708949625492096,-0.23380346596241,	
-78.4654769897461,-273.116241455078,-14.430606842041,0.415336549282074,0.69244384765625,-0.231137230992317,	
