time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
45,-0.337326426,-0.270961862,-0.494220621,-0.290301001,-0.287477978,-0.072218919,-0.295905105,-0.072883784,-0.537326426,-0.682556757
46,-0.314127027,-0.270213514,-0.44428018,-0.306487387,-0.256077477,-0.076445946,-0.270675676,-0.101424324,-0.514127027,-0.695459459
47,-0.290927628,-0.283991592,-0.39433974,-0.322673774,-0.211053854,-0.086978078,-0.283965766,-0.129964865,-0.490927628,-0.657714114
48,-0.291793694,-0.29776967,-0.359001902,-0.33886016,-0.161468068,-0.093618919,-0.312269369,-0.148997397,-0.491793694,-0.619968769
49,-0.34432973,-0.311547748,-0.37034024,-0.329144144,-0.111882282,-0.081510811,-0.340572973,-0.122218619,-0.54432973,-0.582223423
50,-0.396865766,-0.264057958,-0.381678579,-0.31438048,-0.100888989,-0.069402703,-0.283225926,-0.09543984,-0.596865766,-0.544478078
51,-0.425340541,-0.212528529,-0.393016917,-0.299616817,-0.195147948,-0.076476276,-0.215240741,-0.071612813,-0.625340541,-0.527873874
52,-0.360851351,-0.160999099,-0.404355255,-0.284853153,-0.289406907,-0.098001802,-0.153986486,-0.103869069,-0.560851351,-0.560951351
53,-0.296362162,-0.146948048,-0.416576076,-0.286310511,-0.383665866,-0.119527327,-0.199145045,-0.136125325,-0.496362162,-0.594028829
54,-0.239945045,-0.169610511,-0.428808308,-0.301074174,-0.375647948,-0.093538138,-0.244303604,-0.168381582,-0.439945045,-0.627106306
55,-0.261827027,-0.192272973,-0.441040541,-0.315837838,-0.340024324,-0.066016216,-0.284313514,-0.169154054,-0.461827027,-0.660183784
56,-0.283709009,-0.216110511,-0.453272773,-0.330601502,-0.304400701,-0.069488889,-0.307034134,-0.167488388,-0.483709009,-0.673712312
57,-0.305590991,-0.255056156,-0.442524925,-0.339503303,-0.288773073,-0.126377778,-0.329754755,-0.165822723,-0.505590991,-0.647254354
58,-0.284306306,-0.294001802,-0.423541441,-0.331876577,-0.318363664,-0.183266667,-0.321494895,-0.178645345,-0.484306306,-0.620796396
59,-0.262199399,-0.332947447,-0.404557958,-0.32424985,-0.347954254,-0.200308108,-0.266654454,-0.19494965,-0.462199399,-0.594338438
60,-0.240092492,-0.328660661,-0.385574474,-0.316623123,-0.377544845,-0.205151351,-0.211814014,-0.211253954,-0.440092492,-0.56788048
61,-0.24501982,-0.299968468,-0.383012012,-0.308996396,-0.344647147,-0.212517117,-0.189427327,-0.212234835,-0.44501982,-0.559044144
62,-0.254016817,-0.271276276,-0.397878879,-0.33893033,-0.298566266,-0.232735736,-0.191582783,-0.206148749,-0.454016817,-0.58177988
63,-0.263013814,-0.243539039,-0.412745746,-0.369857057,-0.252485385,-0.252954354,-0.193738238,-0.200062663,-0.463013814,-0.604515616
64,-0.272789189,-0.219478378,-0.427612613,-0.400783784,-0.222656757,-0.221843243,-0.191948649,-0.172697297,-0.472789189,-0.627251351
65,-0.282814414,-0.195417718,-0.441978478,-0.431710511,-0.223690991,-0.150809009,-0.188768468,-0.128781381,-0.482814414,-0.649987087
