Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
45,-13.60646827,-23.21813554,-14.38218168,-14.41347838,-13.40924264,-11.76038879,-13.64657748,-12.57742973,-13.90201351,-13.67444545
46,-13.61721982,-23.21985225,-14.41567027,-14.41953243,-13.4145027,-11.78126126,-13.65688378,-12.59750541,-13.91522973,-13.67338739
47,-13.62797137,-23.21841061,-14.46807628,-14.42558649,-13.41949009,-11.80532192,-13.66719009,-12.61758108,-13.92844595,-13.67232933
48,-13.63872292,-23.2105978,-14.52048228,-14.43164054,-13.4207964,-11.83158979,-13.6774964,-12.63765676,-13.94166216,-13.67462342
49,-13.64947447,-23.20278498,-14.57288829,-14.43841532,-13.4221027,-11.85785766,-13.6878027,-12.65773243,-13.95487838,-13.67843243
50,-13.66022603,-23.19497217,-14.62529429,-14.44615105,-13.42340901,-11.88412553,-13.69646937,-12.67780811,-13.96809459,-13.68224144
51,-13.67097758,-23.18715936,-14.6777003,-14.45388679,-13.42471532,-11.91039339,-13.70302793,-12.6936027,-13.9837,-13.68605045
52,-13.68172913,-23.17934655,-14.73010631,-14.46162252,-13.42602162,-11.93666126,-13.70958649,-12.70725676,-14.0005,-13.68985946
53,-13.69225776,-23.17427237,-14.77767147,-14.46935826,-13.42843483,-11.96310531,-13.71614505,-12.72091081,-14.0173,-13.69366847
54,-13.70277618,-23.17085646,-14.82378438,-14.47709399,-13.43312012,-11.99106887,-13.7227036,-12.73456486,-14.0341,-13.6973002
55,-13.71329459,-23.16744054,-14.8698973,-14.49061892,-13.43780541,-12.01903243,-13.72926216,-12.74821892,-14.0509,-13.69867568
56,-13.72381301,-23.16402462,-14.91601021,-14.51036186,-13.44249069,-12.046996,-13.73582072,-12.76187297,-14.0677,-13.70005115
57,-13.73433143,-23.16060871,-14.96212312,-14.5301048,-13.44717598,-12.07495956,-13.74803694,-12.77271351,-14.07974865,-13.70142663
58,-13.74484985,-23.15719279,-15.00823604,-14.54984775,-13.45186126,-12.10292312,-13.76591081,-12.78074054,-14.08704595,-13.7028021
59,-13.75536827,-23.15404915,-15.06069369,-14.56959069,-13.46868649,-12.13088669,-13.78378468,-12.78876757,-14.09434324,-13.70417758
60,-13.77071451,-23.15093103,-15.12417117,-14.58933363,-13.49408108,-12.16309149,-13.80165856,-12.79679459,-14.10164054,-13.70555305
61,-13.7885012,-23.14781291,-15.18764865,-14.60665315,-13.51947568,-12.19793033,-13.81953243,-12.80482162,-14.10893784,-13.71014024
62,-13.80628789,-23.14469479,-15.25112613,-14.62187237,-13.54487027,-12.23276917,-13.83740631,-12.81284865,-14.11623514,-13.71854424
63,-13.82407457,-23.14157668,-15.3146036,-14.63709159,-13.57026486,-12.26760801,-13.85528018,-12.82204324,-14.12568919,-13.72694825
64,-13.84186126,-23.13783874,-15.37808108,-14.65231081,-13.59565946,-12.30244685,-13.87413514,-12.83357297,-14.13945676,-13.73535225
65,-13.85964795,-23.13170761,-15.44155856,-14.66753003,-13.61600691,-12.33728569,-13.89375315,-12.8451027,-14.15322432,-13.74375626
66,-13.87743463,-23.12557648,-15.52038138,-14.68274925,-13.63542733,-12.37185225,-13.91337117,-12.85663243,-14.16699189,-13.75216026
67,-13.89607898,-23.11944535,-15.59981802,-14.70516306,-13.65484775,-12.40459459,-13.93298919,-12.86816216,-14.18075946,-13.76056426
68,-13.91616957,-23.11331421,-15.67925465,-14.73259129,-13.67426817,-12.43733694,-13.95260721,-12.87969189,-14.19452703,-13.76777327
69,-13.93626016,-23.10718308,-15.75869129,-14.76001952,-13.69368859,-12.47007928,-13.97222523,-12.89259189,-14.20693784,-13.77475646
70,-13.95635075,-23.10762703,-15.83812793,-14.78744775,-13.71282072,-12.50282162,-13.99184324,-12.91234324,-14.21256486,-13.78173964
71,-13.97644134,-23.11472162,-15.91756456,-14.81487598,-13.72945435,-12.53556396,-14.01220901,-12.93209459,-14.21819189,-13.78872282
72,-13.99653193,-23.12181622,-15.99053063,-14.8423042,-13.74608799,-12.56830631,-14.03302342,-12.95184595,-14.22381892,-13.79570601
73,-14.01662252,-23.12891081,-16.05836486,-14.8668027,-13.76272162,-12.59680721,-14.05383784,-12.9715973,-14.22944595,-13.80268919
74,-14.03729009,-23.13600541,-16.1261991,-14.88967357,-13.77935526,-12.62295175,-14.07465225,-12.99134865,-14.23507297,-13.81001952
