time,Fx,Tx,Fy
142,-25.9436,0.698206,13.6233
143,-26.9839,0.720022,14.0454
144,-27.9169,0.732861,14.2925
145,-28.7616,0.738197,14.3942
146,-29.5374,0.737619,14.3818
147,-30.2578,0.732621,14.2846
148,-30.9299,0.724565,14.129
149,-31.5559,0.714605,13.9372
150,-32.1362,0.703551,13.7246
151,-32.6707,0.691751,13.4977
152,-33.1604,0.679082,13.2536
153,-33.6072,0.665035,12.9824
154,-34.0147,0.6489,12.6699
155,-34.3873,0.630009,12.3029
156,-34.7306,0.608003,11.874
157,-35.0507,0.583031,11.3859
158,-35.3539,0.555741,10.851
159,-35.6448,0.527005,10.2862
160,-35.9246,0.497605,9.70652
161,-36.1915,0.468111,9.12323
162,-36.4433,0.438921,8.5442
163,-36.6778,0.410256,7.97382
164,-36.8937,0.382139,7.41269
165,-37.0919,0.354479,6.85912
166,-37.2749,0.327143,6.31059
167,-37.4464,0.299905,5.76271
168,-37.6099,0.272387,5.20792
169,-37.769,0.244115,4.63677
170,-37.9253,0.214644,4.04037
171,-38.0784,0.183657,3.41233
172,-38.2255,0.150994,2.74951
173,-38.3632,0.116629,2.05146
174,-38.4881,0.0806084,1.31927
175,-38.5973,0.0429889,0.554236
176,-38.6882,0.00380836,-0.242645
177,-38.7609,-0.0368128,-1.06865
178,-38.8191,-0.0785123,-1.9161
179,-38.87,-0.120724,-2.77313
180,-38.9207,-0.162958,-3.62935
181,-38.9746,-0.205037,-4.48074
182,-39.0308,-0.247132,-5.33031
183,-39.0835,-0.289624,-6.18531
184,-39.1256,-0.332821,-7.05161
185,-39.151,-0.376672,-7.92791
186,-39.1563,-0.420699,-8.80443
187,-39.1377,-0.464177,-9.6666
188,-39.0896,-0.506398,-10.5002
189,-39.0032,-0.546941,-11.2968
190,-38.8681,-0.585838,-12.0569
191,-38.6752,-0.623522,-12.7887
192,-38.4188,-0.660676,-13.5053
193,-38.098,-0.698051,-14.221
194,-37.7177,-0.736238,-14.947
195,-37.287,-0.775487,-15.6877
196,-36.8159,-0.815708,-16.4412
197,-36.3113,-0.856569,-17.2011
198,-35.7755,-0.897602,-17.9585
199,-35.2074,-0.938232,-18.7027
200,-34.6061,-0.977785,-19.4218
201,-33.9736,-1.01556,-20.1035
202,-33.3161,-1.05097,-20.7375
203,-32.6412,-1.08356,-21.3167
204,-31.9567,-1.11308,-21.8374
205,-31.2699,-1.13952,-22.3005
206,-30.5865,-1.1632,-22.712
207,-29.9104,-1.18446,-23.0792
208,-29.2432,-1.20349,-23.406
209,-28.5846,-1.22027,-23.6927
210,-27.9341,-1.23473,-23.9387
211,-27.2917,-1.24694,-24.1456
212,-26.6587,-1.25716,-24.318
213,-26.0351,-1.26583,-24.464
214,-25.419,-1.27348,-24.5922
215,-24.8078,-1.28043,-24.7087
216,-24.1997,-1.28672,-24.8141
217,-23.5913,-1.29204,-24.903
218,-22.9756,-1.2959,-24.9676
219,-22.3418,-1.29799,-25.0025
220,-21.6754,-1.29835,-25.0087
221,-20.9609,-1.29734,-24.992
222,-20.1888,-1.29519,-24.9562
223,-19.3646,-1.29166,-24.8971
224,-18.5114,-1.28615,-24.8047
225,-17.6595,-1.27823,-24.6714
226,-16.8341,-1.26795,-24.4982
227,-16.0526,-1.2557,-24.2913
228,-15.3289,-1.24192,-24.0577
229,-14.6759,-1.22694,-23.8029
230,-14.105,-1.21092,-23.5293
231,-13.6227,-1.19394,-23.2382
232,-13.2257,-1.17622,-22.9333
233,-12.8981,-1.15826,-22.6231
234,-12.6138,-1.14058,-22.3164
235,-12.3454,-1.12317,-22.0134
236,-12.0717,-1.10559,-21.7059
237,-11.7808,-1.08751,-21.3884
238,-11.4696,-1.06904,-21.0627
239,-11.1445,-1.05035,-20.7315
240,-10.8196,-1.03127,-20.3915
241,-10.5111,-1.01122,-20.0323
242,-10.2309,-0.989431,-19.6396
243,-9.98361,-0.965276,-19.2015
244,-9.7662,-0.938464,-18.7125
245,-9.57194,-0.909076,-18.1736
246,-9.39485,-0.877514,-17.5916
247,-9.23124,-0.844452,-16.9785
248,-9.07895,-0.810556,-16.3461
249,-8.9363,-0.776156,-15.7002
250,-8.80194,-0.741173,-15.0387
251,-8.67488,-0.705288,-14.3556
252,-8.55452,-0.668205,-13.6449
253,-8.44065,-0.629859,-12.9056
254,-8.33217,-0.590589,-12.1443
255,-8.22564,-0.551179,-11.3765
256,-8.11872,-0.512463,-10.6184
257,-8.01601,-0.474771,-9.8769
258,-7.92901,-0.437947,-9.14898
259,-7.871,-0.401719,-8.42968
260,-7.85275,-0.365904,-7.71572
261,-7.88063,-0.330424,-7.00591
262,-7.95614,-0.295322,-6.30148
263,-8.07705,-0.260724,-5.6053
264,-8.23897,-0.226788,-4.92083
265,-8.43603,-0.193672,-4.25153
266,-8.6611,-0.161471,-3.59953
267,-8.9074,-0.130145,-2.96425
268,-9.17162,-0.09952,-2.34229
269,-9.45647,-0.0693183,-1.72822
270,-9.77162,-0.0391738,-1.11478
271,-10.1331,-0.00861167,-0.492521
272,-10.5619,0.0230054,0.151234
273,-11.0818,0.0565123,0.833088
274,-11.7172,0.0928647,1.57199
275,-12.489,0.132927,2.38488
276,-13.4088,0.177212,3.28149
277,-14.476,0.225712,4.26091
278,-15.6782,0.277848,5.31065
279,-16.9925,0.332483,6.40719
280,-18.3875,0.388003,7.51772
281,-19.8248,0.442406,8.6021
282,-21.2604,0.493407,9.61511
283,-22.6474,0.538652,10.5108
284,-23.9419,0.57606,11.2489
285,-25.1104,0.604187,11.8023
286,-26.1335,0.622466,12.1609
287,-27.0069,0.631249,12.3325
288,-27.7407,0.631647,12.3397
289,-28.357,0.625265,12.2142
290,-28.8839,0.613962,11.9927
291,-29.3489,0.599711,11.7136
292,-29.7749,0.584476,11.4154
293,-30.1784,0.569974,11.1316
294,-30.5691,0.557371,10.8849
295,-30.9494,0.547126,10.6843
296,-31.316,0.539037,10.5258
297,-31.662,0.532384,10.3953
298,-31.9797,0.526129,10.2723
299,-32.2638,0.519233,10.1365
300,-32.513,0.510931,9.97268
301,-32.73,0.500812,9.77276
302,-32.9211,0.488772,9.53462
303,-33.0943,0.474922,9.26036
304,-33.2576,0.459466,8.95388
305,-33.4185,0.442558,8.61809
306,-33.5833,0.424215,8.25313
307,-33.7563,0.404309,7.85625
308,-33.9403,0.382567,7.42176
309,-34.1367,0.3586,6.94162
310,-34.3478,0.332014,6.40769
311,-34.5773,0.3025,5.81352
312,-34.8283,0.269798,5.1536
313,-35.1006,0.233622,4.42199
314,-35.3898,0.193664,3.61236
315,-35.6886,0.149701,2.72021
316,-35.9898,0.101757,1.74624
317,-36.2872,0.0501702,0.697661
318,-36.5743,-0.00453983,-0.414386
319,-36.8437,-0.0618224,-1.57798
320,-37.0879,-0.121084,-2.78019
321,-37.3028,-0.181564,-4.0046
322,-37.4895,-0.242355,-5.2318
323,-37.6536,-0.302696,-6.4454
324,-37.8014,-0.362203,-7.63672
325,-37.9377,-0.420755,-8.80263
326,-38.0642,-0.478259,-9.94073
327,-38.1791,-0.534522,-11.047
328,-38.277,-0.589208,-12.1148
329,-38.3512,-0.641821,-13.1348
330,-38.3941,-0.69183,-14.0972
331,-38.3987,-0.738914,-14.9962
332,-38.3597,-0.783087,-15.8328
333,-38.2743,-0.824584,-16.6124
334,-38.1411,-0.863677,-17.3407
335,-37.9593,-0.90061,-18.0231
336,-37.7263,-0.935657,-18.6655
337,-37.4358,-0.969203,-19.2752
338,-37.0771,-1.00177,-19.8624
339,-36.6367,-1.03391,-20.4373
340,-36.1028,-1.06593,-21.0058
341,-35.4711,-1.09766,-21.5654
342,-34.7469,-1.12864,-22.1078
343,-33.944,-1.15852,-22.6274
344,-33.0821,-1.18735,-23.125
345,-32.1851,-1.21529,-23.6036
346,-31.2779,-1.24235,-24.064
347,-30.3816,-1.26842,-24.5046
348,-29.5106,-1.29323,-24.9211
349,-28.6726,-1.31628,-25.306
350,-27.8695,-1.33701,-25.6503
351,-27.0986,-1.355,-25.9477
352,-26.3543,-1.37017,-26.1972
353,-25.6286,-1.38274,-26.4031
354,-24.9136,-1.3931,-26.5719
355,-24.2031,-1.40159,-26.7098
356,-23.4942,-1.40846,-26.821
